question_raw,question_theme,question_coded,question_text,reworded,survey_text,menu_text
Q8978243.12,Mental Health and Wellbeing,cope_alcohol,by drinking alcohol,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by drinking alcohol,by drinking alcohol
Q8978243.13,Mental Health and Wellbeing,cope_selfharm,by self-harm,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by self-harm,by self-harm
Q8978243.14,Mental Health and Wellbeing,cope_drugs,by doing drugs,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by doing drugs,by doing drugs
Q8978243.15,Mental Health and Wellbeing,cope_eat,by eating more,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by eating more,by eating more
Q8978243.16,Mental Health and Wellbeing,cope_talkfamily,by talking to family,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by talking to family,by talking to family
Q8978243.17,Mental Health and Wellbeing,cope_other,by other methods,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by other methods,by other methods
Q8978243.2,Mental Health and Wellbeing,cope_think,by thinking of a solution on their own,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by thinking of a solution on their own,by thinking of a solution on their own
Q8978243.3,Mental Health and Wellbeing,cope_internet,by looking for help online,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by looking for help online,by looking for help online
Q8978243.4,Mental Health and Wellbeing,cope_talkadult,by talking to an adult that's not their carer,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by talking to an adult that's not their carer,by talking to an adult that's not their carer
Q8978243.5,Mental Health and Wellbeing,cope_talkfriend,by talking to a friend,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by talking to a friend,by talking to a friend
Q8978243.6,Mental Health and Wellbeing,cope_counselling,by having counselling,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by having counselling,by having counselling
Q8978243.7,Mental Health and Wellbeing,cope_exercise,by exercising,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by exercising,by exercising
Q8978243.8,Mental Health and Wellbeing,cope_creative,by doing creative activities,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by doing creative activities,by doing creative activities
Q8978243.9,Mental Health and Wellbeing,cope_music,by listening to music,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by listening to music,by listening to music
Q8978244,Mental Health and Wellbeing,internet_message,have ever received message on social media that upset them,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,Have you ever received a message on social media that upset you?,received message online that upset them
Q8978244.2,Mental Health and Wellbeing,internet_personalinfo,have ever shared personal information with someone they have not met in real life,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,"Have you ever shared personal information with someone you’ve not met in real life? (e.g. your address, phone number etc)",shared personal information with a stranger
Q8978244.3,Mental Health and Wellbeing,internet_pictures_pressure,have ever felt pressured to send pictures of themselves to someone,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,Have you ever felt pressured to send pictures of yourself to someone?,felt pressured to send pictures of themselves
Q8978244.4,Mental Health and Wellbeing,internet_met,have ever met someone in real life whom they first met online,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,Have you ever met someone in real life whom you first met online?,met someone whom they first met online
Q8978244.5,Mental Health and Wellbeing,internet_pictures_upset,have ever seen a picture or post that scared them,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,Have you been provided with enough online safety information regarding talking to others online?,seen a picture/post that scared them
Q8978244.6,Mental Health and Wellbeing,info_internet_safety,have been provided with enough online safety information regarding talking to others online,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,Have you ever felt pressured to send pictures of yourself to someone?,been provided with safety info for talking to others online
Q8978245,Mental Health and Wellbeing,selfharm_ever,ever self-harmed,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,Have you ever self-harmed?,
Q8978246,Mental Health and Wellbeing,mental_howaccess,"know how to access services if they are worried about, or are looking for more information about their mental health","The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b>, was %s %s students (%s). ",Do you know where to find information about looking after your mental health,
Q8978247,Mental Health and Wellbeing,mental_accessed,have ever accessed mental health services before,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,Have you accessed mental health services before?,
Q8978248,Mental Health and Wellbeing,mental_doctor,a doctor,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s). ,Would want support from the doctor if they were struggling with their mental health,doctor
Q8978248.10,Mental Health and Wellbeing,mental_parents,parents/carers,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s). ,Would want support from their parents/carers if they were struggling with their mental health,parents/carers
Q8978248.11,Mental Health and Wellbeing,mental_nurse,a school nurse,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s). ,Would want support from a school nurse if they were struggling with their mental health,school nurse
Q8978248.2,Mental Health and Wellbeing,mental_school,the school,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s). ,Would want support from the school if they were struggling with their mental health,school
Q8978248.3,Mental Health and Wellbeing,mental_clinic,a mental health clinic,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s). ,Would want support from a mental health clinic if they were struggling with their mental health,mental health clinic
Q8978248.4,Mental Health and Wellbeing,mental_youthservice,the Youth Service,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s). ,Would want support from the Youth Service they were struggling with their mental health,Youth Service
Q8978248.5,Mental Health and Wellbeing,mental_internet,online,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s). ,Would want support from online if they were struggling with their mental health,online
Q8978248.6,Mental Health and Wellbeing,mental_activesupport,activity-based support (e.g. drama therapy) ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s). ,Would want activity-based support (e.g. drama therapy) if they were struggling with their mental health,activity-based support (e.g. drama therapy) 
Q8978248.7,Mental Health and Wellbeing,mental_121,1-2-1 sessions,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s). ,Would want 1-2-1 sessions if they were struggling with their mental health,1-2-1 sessions
Q8978248.8,Mental Health and Wellbeing,mental_groupwork,Group work,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s). ,Would want support from Group work if they were struggling with their mental health,Group work
Q8978248.9,Mental Health and Wellbeing,mental_none,other,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s). ,Would want support from other sources if they were struggling with their mental health,other
Q8978249,Mental Health and Wellbeing,bully_others,have ever bullied or picked on someone else,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,Have you ever bullied or picked on someone else? ,Has bullied or picked on someone else
Q8978250,Mental Health and Wellbeing,bullied,have ever been bullied or picked on,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,Have you ever been bullied or picked on?,Has been bullied or picked on
Q8978251,Mental Health and Wellbeing,bullied_currently,are currently being bullied or picked on,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,Are you currently being bullied or picked on? ,Is being bullied currently
Q8978252,Mental Health and Wellbeing,bullied_school,whether they have been bullied at school,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked <b>%s<b> was %s %s students (%s). ,Have you been bullied at school? ,Has been bullied at school
Q8978252.2,Mental Health and Wellbeing,bullied_outschool,whether they have been bullied somewhere other than school,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked <b>%s<b> was %s %s students (%s). ,Have you been bullied somewhere other than school? ,Has been bullied somewhere other than school
Q8978252.3,Mental Health and Wellbeing,bullied_internet,whether they have been bullied online,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked <b>%s<b> was %s %s students (%s). ,Have you been bullied online? ,Has been bullied online
Q8978253,Safety,safety_dark,going out after dark,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked to rate how safe they felt when <b>%s</b> was %s %s students (%s). ,Rate how safe you feel when going out after dark,going out after dark
Q8978253.2,Safety,safety_day,going out during the day,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked to rate how safe they felt when <b>%s</b> was %s %s students (%s). ,Rate how safe you feel going out during the day,going out during the day
Q8978253.3,Safety,safety_school,at school,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked to rate how safe they felt when <b>%s</b> was %s %s students (%s). ,Rate how safe you feel when at school,they are at school
Q8978253.4,Safety,safety_journey,going to and from school,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked to rate how safe they felt when <b>%s</b> was %s %s students (%s). ,Rate how safe you feel when going to and from school,going to and from school
Q8978254,Safety,violence_involved,have been involved in a violent incident in the past year,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,In the past year have you been involved in a violent incident?,
Q8978255,Safety,violence_weapon_involved,have been involved in a violent incident where a weapon was used or threatened in the past year,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,In the past year have you been involved in a violent incident where a weapon was used or threatened? ,
Q8978256,Safety,carry_protection,carry weapons for protection when going out,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,Do you carry weapons for protection when going out? ,"Dos bullied or picked on someone else"""
Q8978257,Safety,carry_protection_other,know anyone who carries a weapons for protection when going out,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,Does anyone you know carry weapons for protection when going out? ,
Q8978258,Safety,home_shouting,have ever been frightened by any shouting and arguing between adults or older siblings at home in the last month,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,Have you ever been frightened by any shouting and arguing between adults or older siblings at home in the last month?,
Q8978259,Safety,home_violence,"if there has been any violence (e.g. hitting, punching, slapping) between adults or older siblings at home in the last month",The proportion of %s students who responded with <b>'%s'</b> (%s) when asked <b>%s</b> was %s %s students (%s). ,"Has there been any violence (e.g. hitting, punching, slapping) between adults or older siblings at home in the last month? ","""Has been any violence (e.g. hitting, punching, slapping) between adults or older siblings at home in the last month"""
Q8978260,Safety,approached_worry,"have ever been approached by an adult who either scared, worried, or upset them",The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,"Have you ever been approached by an adult who either scared you, worried you, or upset you? ",
Q8978261,Safety,approached_know,know the adult that approached them the last time they were approached,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,The last time you were approached did you know the adult that approached you? ,
Q8978262,Safety,approached_walkaway,walked away,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s<b> last time they were approached was %s %s students (%s). ,"When approached by a stranger, they walked away",walked away
Q8978262.2,Safety,approached_argue,argued or fought back,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s<b> last time they were approached was %s %s students (%s). ,"When approached by a stranger, they argued or fought back",argued or fought back
Q8978262.3,Safety,approached_toldadult,told an adult,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s<b> last time they were approached was %s %s students (%s). ,"When approached by a stranger, they told an adult",told an adult
Q8978262.4,Safety,approached_toldfriend,told a friend,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s<b> last time they were approached was %s %s students (%s). ,"When approached by a stranger, they told a friend",told a friend
Q8978262.5,Safety,approached_toldpolice,told the police,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s<b> last time they were approached was %s %s students (%s). ,"When approached by a stranger, they told the police",told the police
Q8978262.6,Safety,approached_toldself,kept it to themselves,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s<b> last time they were approached was %s %s students (%s). ,"When approached by a stranger, they kept it to themselves",kept it to themselves
Q8978262.7,Safety,approached_other,other,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s<b> last time they were approached was %s %s students (%s). ,"When approached by a stranger, they did something that was not listed in the question",other
Q8978262.8,Safety,approached_anonymous_report,reported the crime anonymously,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s<b> last time they were approached was %s %s students (%s). ,"When approached by a stranger, they reported the crime anonymously",reported the crime anonymously
Q8978263,Education,skipschool_illness,illness/injury unrelated to COVID-19,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they missed school due to <b>%s<b> was %s %s students (%s). ,In the last year they've taken time off school due to illness/injury unrelated to COVID-19,illness/injury unrelated to COVID-19
Q8978263.2,Education,skipschool_care,caring for family,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they missed school due to <b>%s<b> was %s %s students (%s). ,In the last year they've taken time off school due to caring for family,caring for family
Q8978263.3,Education,skipschool_appointments,medical/dental appointments,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they missed school due to <b>%s<b> was %s %s students (%s). ,In the last year they've taken time off school due to medical/dental appointments,medical/dental appointments
Q8978263.4,Education,skipschool_trips,holiday ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they missed school due to <b>%s<b> was %s %s students (%s). ,In the last year they've taken time off school due to holiday ,holiday 
Q8978263.5,Education,skipschool_worriesschool,worries about schoolwork,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they missed school due to <b>%s<b> was %s %s students (%s). ,In the last year they've taken time off school due to worries about schoolwork,worries about schoolwork
Q8978263.6,Education,skipschool_worriesbully,bullying,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they missed school due to <b>%s<b> was %s %s students (%s). ,In the last year they've taken time off school due to bullying,bullying
Q8978263.7,Education,skipschool_COVID-19,COVID-19,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they missed school due to <b>%s<b> was %s %s students (%s). ,In the last year they've taken time off school due to COVID-19,COVID-19
Q8978263.8,Education,skipschool_mentalhealth,mental health reasons,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they missed school due to <b>%s<b> was %s %s students (%s). ,In the last year they've taken time off school due to mental health reasons,mental health reasons
Q8978264,Education,listened_home,they feel that their views and opinions were listened to at home,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s<b> was %s %s students (%s). , Do you feel that your views and opinions are listened to at home?,at home
Q8978264.2,Education,listened_school,they feel that their views and opinions were listened to at school,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s<b> was %s %s students (%s). , Do you feel that your views and opinions are listened to at school?,at school
Q8978264.3,Education,listened_friends,they feel that their views and opinions were listened to by their friends,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s<b> was %s %s students (%s). , Do you feel that your views and opinions are listened to by friends?,friends
Q8978265,Education,schoolsupp_academic,they find their school is supportive of their emotional health and wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s<b> was %s %s students (%s). ,Do you find your school is supportive of your emotional health and wellbeing?,
Q8978265.2,Education,schoolsupp_wellbeing,they find their school is supportive of their learning and education,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s<b> was %s %s students (%s). ,Do you find your school is supportive of your learning and education?,
Q8978266,Education,prospects_education,plan to continue in education ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s<b> after finishing school was %s %s students (%s). ,Plan to continue in education after leaving school,Plan to continue in education 
Q8978266.2,Education,prospects_job,plan to get a job,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s<b> after finishing school was %s %s students (%s). ,Plan to get a job after leaving school,Plan to get a job
Q8978266.3,Education,prospects_training,plan to training for a skilled job ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s<b> after finishing school was %s %s students (%s). ,Plan to training for a skilled job after leaving school,Plan to training for a skilled job 
Q8978266.4,Education,prospects_family,plan to start a family,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s<b> after finishing school was %s %s students (%s). ,Plan to start a family after leaving school,Plan to start a family
Q8978266.5,Education,prospects_notsure,aren't sure what they want to do ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s<b> after finishing school was %s %s students (%s). ,Aren't sure what they want to do after leaving school,Aren't sure what they want to do 
Q8978266.6,Education,prospects_other,have other plans ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s<b> after finishing school was %s %s students (%s). ,Have other plans after leaving school,Have other plans 
Q9065119,Drug Use,amphetamine_offered,amphetamines,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED amphetamines,amphetamines
Q9065119.10,Drug Use,steroids_offered,muscle-building steroids,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED steroids,muscle-building steroids
Q9065119.11,Drug Use,poppers_offered,poppers,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED poppers,poppers
Q9065119.12,Drug Use,solvents_offered,solvents as drugs ,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED solvents,solvents as drugs 
Q9065119.13,Drug Use,mephedrone_offered,mephedrone,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED mephedrone,mephedrone
Q9065119.14,Drug Use,nps_offered,novel psychoactive substances ,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED novel psychoactive substances,novel psychoactive substances 
Q9065119.15,Drug Use,nitrous_oxide_offered,nitrous oxide,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED nitrous oxide,nitrous oxide
Q9065119.16,Drug Use,xanex_offered,Xanax,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED Xanax,Xanax
Q9065119.2,Drug Use,cannabis_offered,cannabis,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED cannabis,cannabis
Q9065119.3,Drug Use,khat_offered,khat,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED khat,khat
Q9065119.4,Drug Use,ecstasy_offered,ecstasy,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED ecstasy,ecstasy
Q9065119.5,Drug Use,cocaine_offered,cocaine,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED cocaine,cocaine
Q9065119.6,Drug Use,crack_offered,crack,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED crack,crack
Q9065119.7,Drug Use,hallucinogen_offered,hallucinogens ,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED hallucinogen,hallucinogens 
Q9065119.8,Drug Use,heroin_offered,heroin,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED heroin,heroin
Q9065119.9,Drug Use,ketamine_offered,ketamine,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they have been offered <b>%s<b> in the past three months was %s %s students (%s). ,Has been OFFERED ketamine,ketamine
Q9318333,,schyear_h,Which school year are you in?,-,,
Q9442572,Drug Use,drug_ever,the best statement that describes them regarding recreational drug use,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about <b>%s</b> was %s %s students (%s). ,"Thinking about recreational drug use, which of the following best describes you? ",
Q9442668,Drug Use,amphetamines_exp,amphetamines,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN amphetamines,amphetamines
Q9442668.10,Drug Use,steroids_exp,muscle-building steroids,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN steroids,muscle-building steroids
Q9442668.11,Drug Use,poppers_exp,poppers,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN poppers,poppers
Q9442668.12,Drug Use,solvents_exp,solvents as drugs ,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN solvents,solvents as drugs 
Q9442668.13,Drug Use,mephedrone_exp,mephedrone,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN mephedrone,mephedrone
Q9442668.14,Drug Use,nps_exp,novel psychoactive substances ,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN novel psychoactive substances,novel psychoactive substances 
Q9442668.15,Drug Use,nitrous_oxide_exp,nitrous oxide,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN nitrous oxide,nitrous oxide
Q9442668.16,Drug Use,xanex_exp,Xanax,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN Xanax,Xanax
Q9442668.2,Drug Use,cannabis_exp,cannabis,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN cannabis,cannabis
Q9442668.3,Drug Use,khat_exp,khat,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN khat,khat
Q9442668.4,Drug Use,ecstasy_exp,ecstasy,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN ecstasy,ecstasy
Q9442668.5,Drug Use,cocaine_exp,cocaine,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN cocaine,cocaine
Q9442668.6,Drug Use,crack_exp,crack,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN crack,crack
Q9442668.7,Drug Use,hallucinogen_natural_exp,hallucinogens ,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN hallucinogens,hallucinogens 
Q9442668.8,Drug Use,heroin_exp,heroin,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN heroin,heroin
Q9442668.9,Drug Use,ketamine_exp,ketamine,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they had taken <b>%s</b> in the past three months was %s %s students (%s). ,Has TAKEN ketamine,ketamine
Q9442669,Drug Use,drugs_alcohol,ever taken drugs and drunk alcohol on the same occasion,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have <b>%s</b> was %s %s students (%s). ,Have you ever taken drugs and drunk alcohol on the same occasion? ,
Q9442670,Drug Use,buydrug_bar,pubs/bars/clubs,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they got drugs from <b>%s</b> was %s %s students (%s). ,Typically buys/gets drugs from pubs/bars/clubs,pubs/bars/clubs
Q9442670.2,Drug Use,buydrug_school,school,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they got drugs from <b>%s</b> was %s %s students (%s). ,Typically buys/gets drugs from school,school
Q9442670.3,Drug Use,buydrug_streets,on the street,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they got drugs from <b>%s</b> was %s %s students (%s). ,Typically buys/gets drugs on the street,on the street
Q9442670.4,Drug Use,buydrug_friend,friend or relative,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they got drugs from <b>%s</b> was %s %s students (%s). ,Typically buys/gets drugs from a friend or relative,friend or relative
Q9442670.5,Drug Use,buydrug_internet,the internet,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they got drugs from <b>%s</b> was %s %s students (%s). ,Typically buys/gets drugs from the internet,the internet
Q9442670.6,Drug Use,buydrug_other,other sources,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they got drugs from <b>%s</b> was %s %s students (%s). ,Typically buys/gets drugs from other sources,other sources
Q9456395,Smoking and Vaping,smoke_reduce,if they want to reduce or stop smoking,The proportion of %s students who responded <b>'%s'</b> (%s) when asked <b>%s</b> was %s %s students (%s). ,Do you want to reduce or stop smoking? ,"""Do you want to reduce or stop smoking"""
Q9480381,Diet and Lifestyle,pa_30,how many days in the past week had they done 30-59 minutes of physical activity,The proportion of %s students who responded <b>'%s'</b> (%s) when asked <b>%s</b> was %s %s students (%s). ,"In the past week, on how many days have you done at least half an hour but less than an hour (30-59 minutes) of physical activity, which was enough to raise your breathing rate?","""In the past week, on how many days have you done at least half an hour but less than an hour (30-59 minutes) of physical activity, which was enough to raise your breathing rate"""
Q9505407,Smoking and Vaping,vaping_reducesmoke,have used vaping/ e-cigarettes to reduce smoking,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,Have you used vaping / e-cigarettes to reduce or quit your smoking? ,
Q9505480,Drug Use,drug_reduce,if they want to reduce or stop taking drugs,The proportion of %s students who responded <b>'%s'</b> (%s) when asked <b>%s</b> was %s %s students (%s). ,Do you want to reduce or stop taking drugs? ,Do you want to reduce or stop taking drugs? 
Q9512168,Alcohol Consumption,alcohol_reduce,want to reduce or stop drinking,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,Do you want to reduce or stop your drinking?,Do you want to reduce or stop your drinking?
