question_raw,question_theme,question_coded,question_text,reworded,survey_text,menu_text
Q11569316,Mental Health and Wellbeing,life_satisfied_before_covid,how satisfied with their life they feel now compared to before COVID-19 on a scale of low to high,The proportion of %s students who responded <b>'%s'</b> (%s) when asked <b>%s</b> was %s %s students (%s). ,How satisfied with your life do you feel now compared with how you felt before COVID-19?,current life satisfaction compared to before COVID-19 
Q8978211,Diet and Lifestyle,diet_fish,fish and seafood,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked how often they have <b>%s</b> was %s %s students (%s). ,How often do you have fish or seafood?,fish and seafood
Q8978211.10,Diet and Lifestyle,diet_sweets,sweets or chocolate,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked how often they have <b>%s</b> was %s %s students (%s). ,How often do you have sweets?,sweets or chocolate
Q8978211.11,Diet and Lifestyle,diet_breakfast,breakfast ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked how often they have <b>%s</b> was %s %s students (%s). ,How often do you have breakfast?,breakfast 
Q8978211.2,Diet and Lifestyle,diet_fruit,fresh fruit,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked how often they have <b>%s</b> was %s %s students (%s). ,How often do you have fruit?,fresh fruit
Q8978211.3,Diet and Lifestyle,diet_vegetables,vegetables,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked how often they have <b>%s</b> was %s %s students (%s). ,How often do you have vegetables?,vegetables
Q8978211.4,Diet and Lifestyle,diet_water,water,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked how often they drink <b>%s</b> was %s %s students (%s). ,How often do you have water?,water
Q8978211.5,Diet and Lifestyle,diet_milk,milk,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked how often they drink <b>%s</b> was %s %s students (%s). ,How often do you have fish or seafood?,milk
Q8978211.6,Diet and Lifestyle,diet_fastfood,fast food and takeaway,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked how often they have <b>%s</b> was %s %s students (%s). ,How often do you have fast-food or takeaway?,fast food and takeaway
Q8978211.7,Diet and Lifestyle,diet_crisps,crisps,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked how often they have <b>%s</b> was %s %s students (%s). ,How often do you have fish or seafood?,crisps
Q8978211.8,Diet and Lifestyle,diet_fizzydrink,fizzy drinks ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked how often they have <b>%s</b> was %s %s students (%s). ,How often do you have fizzy drinks (not energy drinks)?,fizzy drinks 
Q8978211.9,Diet and Lifestyle,diet_energydrink,energy drinks ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked how often they have <b>%s</b> was %s %s students (%s). ,How often do you have energy drinks (not fizzy drinks)?,energy drinks 
