breakdown,school,question,question_text,response,count,denominator,value,lowercl,uppercl,lowereb,uppereb,year
Female,All Schools,nitrous_oxide_exp,nitrous oxide,Yes,15,8425,0.2%,0.1%,0.4%,0.1%,0.2%,2023
Female,All Schools,nitrous_oxide_offered,nitrous oxide,No,8320,8425,98.8%,98.3%,99.1%,0.4%,0.3%,2023
Female,All Schools,nitrous_oxide_offered,nitrous oxide,Yes,105,8425,1.2%,0.9%,1.7%,0.3%,0.4%,2023
Female,All Schools,nps_exp,novel psychoactive substances,No,8420,8425,99.9%,99.8%,100.0%,0.2%,0.0%,2023
Female,All Schools,nps_exp,novel psychoactive substances,Yes,5,8425,0.1%,0.0%,0.2%,0.0%,0.2%,2023
Female,All Schools,nps_offered,novel psychoactive substances,No,8405,8425,99.8%,99.5%,99.9%,0.2%,0.1%,2023
Female,All Schools,nps_offered,novel psychoactive substances,Yes,20,8425,0.2%,0.1%,0.5%,0.1%,0.2%,2023
Female,All Schools,pa_30,how many days in the past week had they done a total of 30 minutes or more of physical activity,1 to 3,4400,8425,52.2%,50.5%,53.9%,1.7%,1.7%,2023
Female,All Schools,pa_30,how many days in the past week had they done a total of 30 minutes or more of physical activity,4 to 5,1440,8425,17.1%,15.9%,18.4%,1.2%,1.3%,2023
Female,All Schools,pa_30,how many days in the past week had they done a total of 30 minutes or more of physical activity,6 to 7,400,8425,4.7%,4.1%,5.5%,0.7%,0.8%,2023
Female,All Schools,pa_30,how many days in the past week had they done a total of 30 minutes or more of physical activity,none,2185,8425,25.9%,24.5%,27.4%,1.4%,1.5%,2023
Female,All Schools,pa_60,how many days in the past week had they done a total of 60 minutes or more of physical activity,1 to 3,3910,8425,46.4%,44.7%,48.1%,1.7%,1.7%,2023
Female,All Schools,pa_60,how many days in the past week had they done a total of 60 minutes or more of physical activity,4 to 5,1365,8425,16.2%,15.0%,17.5%,1.2%,1.3%,2023
Female,All Schools,pa_60,how many days in the past week had they done a total of 60 minutes or more of physical activity,6 to 7,670,8425,8.0%,7.1%,8.9%,0.9%,1.0%,2023
Female,All Schools,pa_60,how many days in the past week had they done a total of 60 minutes or more of physical activity,none,2480,8425,29.4%,27.9%,31.0%,1.5%,1.6%,2023
Female,All Schools,pa_barriers_bikecost,the cost of bikes,No,8225,8425,97.6%,97.1%,98.1%,0.6%,0.5%,2023
Female,All Schools,pa_barriers_bikecost,the cost of bikes,Yes,200,8425,2.4%,1.9%,2.9%,0.5%,0.6%,2023
Female,All Schools,pa_barriers_distance,distance,No,6530,8425,77.5%,76.1%,78.9%,1.4%,1.4%,2023
Female,All Schools,pa_barriers_distance,distance,Yes,1895,8425,22.5%,21.1%,23.9%,1.4%,1.4%,2023
Female,All Schools,pa_barriers_fearlost,the fear of getting lost,No,7560,8425,89.7%,88.7%,90.7%,1.1%,1.0%,2023
Female,All Schools,pa_barriers_fearlost,the fear of getting lost,Yes,865,8425,10.3%,9.3%,11.3%,1.0%,1.1%,2023
Female,All Schools,pa_barriers_fitness,lack of fitness,No,8045,8430,95.4%,94.7%,96.1%,0.8%,0.7%,2023
Female,All Schools,pa_barriers_fitness,lack of fitness,Yes,385,8430,4.6%,3.9%,5.3%,0.7%,0.8%,2023
Female,All Schools,pa_barriers_other,other reasons,No,7260,8425,86.2%,85.0%,87.3%,1.2%,1.1%,2023
Female,All Schools,pa_barriers_other,other reasons,Yes,1165,8425,13.8%,12.7%,15.0%,1.1%,1.2%,2023
Female,All Schools,pa_barriers_pollution,air pollution,No,8320,8425,98.8%,98.3%,99.1%,0.4%,0.3%,2023
Female,All Schools,pa_barriers_pollution,air pollution,Yes,105,8425,1.2%,0.9%,1.7%,0.3%,0.4%,2023
Female,All Schools,pa_barriers_roadsafety,road safety,No,7815,8425,92.8%,91.8%,93.6%,0.9%,0.8%,2023
Female,All Schools,pa_barriers_roadsafety,road safety,Yes,610,8425,7.2%,6.4%,8.2%,0.8%,0.9%,2023
Female,All Schools,pa_barriers_safety,personal safety,No,7020,8425,83.3%,82.0%,84.5%,1.3%,1.2%,2023
Female,All Schools,pa_barriers_safety,personal safety,Yes,1405,8425,16.7%,15.5%,18.0%,1.2%,1.3%,2023
Female,All Schools,pa_barriers_time,lack of time,No,4505,8425,53.5%,51.8%,55.1%,1.7%,1.7%,2023
Female,All Schools,pa_barriers_time,lack of time,Yes,3920,8425,46.5%,44.9%,48.2%,1.7%,1.7%,2023
Female,All Schools,pa_barriers_want,personal preference,No,5895,8425,70.0%,68.4%,71.5%,1.6%,1.5%,2023
Female,All Schools,pa_barriers_want,personal preference,Yes,2530,8425,30.0%,28.5%,31.6%,1.5%,1.6%,2023
Female,All Schools,pa_barriers_weather,the weather,No,5080,8425,60.3%,58.6%,61.9%,1.7%,1.6%,2023
Female,All Schools,pa_barriers_weather,the weather,Yes,3345,8425,39.7%,38.1%,41.4%,1.6%,1.7%,2023
Female,All Schools,pa_fri,Friday,0-29 minutes,2710,7780,34.8%,33.2%,36.5%,1.6%,1.7%,2023
Female,All Schools,pa_fri,Friday,30-59 minutes,2720,7780,35.0%,33.3%,36.6%,1.7%,1.7%,2023
Female,All Schools,pa_fri,Friday,60 or more minutes,2350,7780,30.2%,28.6%,31.8%,1.6%,1.6%,2023
Female,All Schools,pa_mon,Monday,0-29 minutes,2785,8030,34.7%,33.1%,36.3%,1.6%,1.7%,2023
Female,All Schools,pa_mon,Monday,30-59 minutes,2580,8030,32.1%,30.5%,33.8%,1.6%,1.6%,2023
Female,All Schools,pa_mon,Monday,60 or more minutes,2665,8030,33.2%,31.6%,34.8%,1.6%,1.6%,2023
Female,All Schools,pa_sat,Saturday,0-29 minutes,2615,7755,33.7%,32.1%,35.4%,1.6%,1.7%,2023
Female,All Schools,pa_sat,Saturday,30-59 minutes,2135,7755,27.5%,26.0%,29.1%,1.5%,1.6%,2023
Female,All Schools,pa_sat,Saturday,60 or more minutes,3005,7755,38.7%,37.1%,40.5%,1.7%,1.7%,2023
Female,All Schools,pa_sun,Sunday,0-29 minutes,3420,7645,44.7%,43.0%,46.5%,1.7%,1.8%,2023
Female,All Schools,pa_sun,Sunday,30-59 minutes,2120,7645,27.7%,26.2%,29.3%,1.6%,1.6%,2023
Female,All Schools,pa_sun,Sunday,60 or more minutes,2105,7645,27.5%,26.0%,29.1%,1.5%,1.6%,2023
Female,All Schools,pa_thurs,Thursday,0-29 minutes,2520,7880,32.0%,30.4%,33.6%,1.6%,1.6%,2023
Female,All Schools,pa_thurs,Thursday,30-59 minutes,2745,7880,34.8%,33.2%,36.5%,1.6%,1.7%,2023
Female,All Schools,pa_thurs,Thursday,60 or more minutes,2615,7880,33.2%,31.6%,34.8%,1.6%,1.7%,2023
Female,All Schools,pa_tues,Tuesday,0-29 minutes,2645,7950,33.3%,31.7%,34.9%,1.6%,1.7%,2023
Female,All Schools,pa_tues,Tuesday,30-59 minutes,2640,7950,33.2%,31.6%,34.9%,1.6%,1.7%,2023
Female,All Schools,pa_tues,Tuesday,60 or more minutes,2665,7950,33.5%,31.9%,35.2%,1.6%,1.7%,2023
Female,All Schools,pa_wed,Wednesday,0-29 minutes,2535,7945,31.9%,30.3%,33.5%,1.6%,1.6%,2023
Female,All Schools,pa_wed,Wednesday,30-59 minutes,2745,7945,34.6%,32.9%,36.2%,1.6%,1.7%,2023
Female,All Schools,pa_wed,Wednesday,60 or more minutes,2665,7945,33.5%,31.9%,35.2%,1.6%,1.7%,2023
Female,All Schools,paid_work,how much paid work they did last week,0-10 hours,990,8015,12.4%,11.3%,13.5%,1.1%,1.2%,2023
Female,All Schools,paid_work,how much paid work they did last week,11-20 hours,215,8015,2.7%,2.2%,3.3%,0.5%,0.6%,2023
Female,All Schools,paid_work,how much paid work they did last week,21-30 hours,25,8015,0.3%,0.2%,0.6%,0.1%,0.3%,2023
Female,All Schools,paid_work,how much paid work they did last week,31+ hours,20,8015,0.2%,0.1%,0.5%,0.1%,0.2%,2023
Female,All Schools,paid_work,how much paid work they did last week,I didn't do any paid work,6580,8015,82.1%,80.7%,83.4%,1.4%,1.3%,2023
Female,All Schools,paid_work,how much paid work they did last week,Prefer not to say,185,8015,2.3%,1.8%,2.9%,0.5%,0.6%,2023
Female,All Schools,poppers_exp,poppers,No,8420,8425,99.9%,99.8%,100.0%,0.2%,0.0%,2023
Female,All Schools,poppers_exp,poppers,Yes,5,8425,0.1%,0.0%,0.2%,0.0%,0.2%,2023
Female,All Schools,poppers_offered,poppers,No,8395,8425,99.6%,99.4%,99.8%,0.3%,0.2%,2023
Female,All Schools,poppers_offered,poppers,Yes,30,8425,0.4%,0.2%,0.6%,0.2%,0.3%,2023
Female,All Schools,prospects_education,plan to continue in education,Maybe,1920,7575,25.3%,23.8%,26.9%,1.5%,1.6%,2023
Female,All Schools,prospects_education,plan to continue in education,No,400,7575,5.3%,4.5%,6.1%,0.7%,0.9%,2023
Female,All Schools,prospects_education,plan to continue in education,Yes,5255,7575,69.4%,67.7%,71.0%,1.7%,1.6%,2023
Female,All Schools,prospects_family,plan to start a family,Maybe,1995,6760,29.5%,27.8%,31.3%,1.7%,1.7%,2023
Female,All Schools,prospects_family,plan to start a family,No,3190,6760,47.2%,45.3%,49.1%,1.9%,1.9%,2023
Female,All Schools,prospects_family,plan to start a family,Yes,1575,6760,23.3%,21.7%,24.9%,1.6%,1.6%,2023
Female,All Schools,prospects_info_apprenticeships,apprenticeships,No,5920,8425,70.3%,68.7%,71.8%,1.6%,1.5%,2023
Female,All Schools,prospects_info_apprenticeships,apprenticeships,Yes,2505,8425,29.7%,28.2%,31.3%,1.5%,1.6%,2023
Female,All Schools,prospects_info_college,college/6th form,No,4810,8425,57.1%,55.4%,58.7%,1.7%,1.7%,2023
Female,All Schools,prospects_info_college,college/6th form,Yes,3615,8425,42.9%,41.3%,44.6%,1.7%,1.7%,2023
Female,All Schools,prospects_info_gap,gap years,No,5735,8425,68.1%,66.5%,69.6%,1.6%,1.5%,2023
Female,All Schools,prospects_info_gap,gap years,Yes,2690,8425,31.9%,30.4%,33.5%,1.5%,1.6%,2023
Female,All Schools,prospects_info_jobs,jobs,No,4355,8425,51.7%,50.0%,53.4%,1.7%,1.7%,2023
Female,All Schools,prospects_info_jobs,jobs,Yes,4070,8425,48.3%,46.6%,50.0%,1.7%,1.7%,2023
Female,All Schools,prospects_info_other,other options,No,7200,8430,85.4%,84.2%,86.6%,1.2%,1.1%,2023
Female,All Schools,prospects_info_other,other options,Yes,1230,8430,14.6%,13.4%,15.8%,1.1%,1.2%,2023
Female,All Schools,prospects_info_trainee,traineeships,No,7235,8425,85.9%,84.7%,87.0%,1.2%,1.1%,2023
Female,All Schools,prospects_info_trainee,traineeships,Yes,1190,8425,14.1%,13.0%,15.3%,1.1%,1.2%,2023
Female,All Schools,prospects_info_uni,university,No,3680,8425,43.7%,42.0%,45.4%,1.7%,1.7%,2023
Female,All Schools,prospects_info_uni,university,Yes,4745,8425,56.3%,54.6%,58.0%,1.7%,1.7%,2023
Female,All Schools,prospects_job,plan to get a job,Maybe,1935,7370,26.3%,24.7%,27.9%,1.6%,1.6%,2023
Female,All Schools,prospects_job,plan to get a job,No,440,7370,6.0%,5.2%,6.9%,0.8%,0.9%,2023
Female,All Schools,prospects_job,plan to get a job,Yes,4995,7370,67.8%,66.1%,69.4%,1.7%,1.7%,2023
Female,All Schools,prospects_notsure,aren't sure what they want to do,Maybe,1865,6300,29.6%,27.9%,31.4%,1.7%,1.8%,2023
Female,All Schools,prospects_notsure,aren't sure what they want to do,No,2255,6300,35.8%,34.0%,37.7%,1.8%,1.9%,2023
Female,All Schools,prospects_notsure,aren't sure what they want to do,Yes,2180,6300,34.6%,32.8%,36.5%,1.8%,1.9%,2023
Female,All Schools,prospects_other,have other plans,Maybe,2425,6110,39.7%,37.8%,41.6%,1.9%,1.9%,2023
Female,All Schools,prospects_other,have other plans,No,2325,6110,38.1%,36.2%,40.0%,1.9%,1.9%,2023
Female,All Schools,prospects_other,have other plans,Yes,1360,6110,22.3%,20.7%,23.9%,1.6%,1.7%,2023
Female,All Schools,prospects_support_friends,friends,No,4915,8425,58.3%,56.7%,60.0%,1.7%,1.6%,2023
Female,All Schools,prospects_support_friends,friends,Yes,3510,8425,41.7%,40.0%,43.3%,1.6%,1.7%,2023
Female,All Schools,prospects_support_idk,don't know where to get support,No,7585,8425,90.0%,89.0%,91.0%,1.1%,1.0%,2023
Female,All Schools,prospects_support_idk,don't know where to get support,Yes,840,8425,10.0%,9.0%,11.0%,1.0%,1.1%,2023
Female,All Schools,prospects_support_jobcentre,Job Centre Plus,No,8040,8425,95.4%,94.7%,96.1%,0.8%,0.7%,2023
Female,All Schools,prospects_support_jobcentre,Job Centre Plus,Yes,385,8425,4.6%,3.9%,5.3%,0.7%,0.8%,2023
Female,All Schools,prospects_support_online,online,No,6560,8425,77.9%,76.4%,79.2%,1.4%,1.4%,2023
Female,All Schools,prospects_support_online,online,Yes,1865,8425,22.1%,20.8%,23.6%,1.4%,1.4%,2023
Female,All Schools,prospects_support_other,other sources,No,7745,8425,91.9%,91.0%,92.8%,1.0%,0.9%,2023
Female,All Schools,prospects_support_other,other sources,Yes,680,8425,8.1%,7.2%,9.0%,0.9%,1.0%,2023
Female,All Schools,prospects_support_parents,parent/carer,No,2195,8425,26.1%,24.6%,27.6%,1.5%,1.5%,2023
Female,All Schools,prospects_support_parents,parent/carer,Yes,6230,8425,73.9%,72.4%,75.4%,1.5%,1.5%,2023
Female,All Schools,prospects_support_school,school/teacher,No,4715,8425,56.0%,54.3%,57.6%,1.7%,1.7%,2023
Female,All Schools,prospects_support_school,school/teacher,Yes,3710,8425,44.0%,42.4%,45.7%,1.7%,1.7%,2023
Female,All Schools,prospects_support_syp,Services for Young People,No,7860,8425,93.3%,92.4%,94.1%,0.9%,0.8%,2023
Female,All Schools,prospects_support_syp,Services for Young People,Yes,565,8425,6.7%,5.9%,7.6%,0.8%,0.9%,2023
Female,All Schools,prospects_training,plan to training for a skilled job,Maybe,3035,6850,44.3%,42.5%,46.2%,1.8%,1.9%,2023
Female,All Schools,prospects_training,plan to training for a skilled job,No,1465,6850,21.4%,19.9%,23.0%,1.5%,1.6%,2023
Female,All Schools,prospects_training,plan to training for a skilled job,Yes,2350,6850,34.3%,32.6%,36.1%,1.7%,1.8%,2023
Female,All Schools,religion,religion,Any other religion,110,8375,1.3%,1.0%,1.8%,0.3%,0.4%,2023
Female,All Schools,religion,religion,Buddhist,50,8375,0.6%,0.4%,0.9%,0.2%,0.3%,2023
Female,All Schools,religion,religion,Christian,2375,8375,28.4%,26.9%,29.9%,1.5%,1.5%,2023
Female,All Schools,religion,religion,Hindu,375,8375,4.5%,3.8%,5.2%,0.6%,0.8%,2023
Female,All Schools,religion,religion,Jewish,180,8375,2.1%,1.7%,2.7%,0.4%,0.5%,2023
Female,All Schools,religion,religion,Muslim,460,8375,5.5%,4.8%,6.3%,0.7%,0.8%,2023
Female,All Schools,religion,religion,No religion,4535,8375,54.1%,52.5%,55.8%,1.7%,1.7%,2023
Female,All Schools,religion,religion,Prefer not to say,230,8375,2.7%,2.2%,3.4%,0.5%,0.6%,2023
Female,All Schools,religion,religion,Sikh,60,8375,0.7%,0.5%,1.1%,0.2%,0.3%,2023
Female,All Schools,safety_dark,going out after dark,Neither safe or unsafe,2955,8295,35.6%,34.0%,37.3%,1.6%,1.6%,2023
Female,All Schools,safety_dark,going out after dark,Safe,855,8295,10.3%,9.3%,11.4%,1.0%,1.1%,2023
Female,All Schools,safety_dark,going out after dark,Unsafe,4485,8295,54.1%,52.4%,55.8%,1.7%,1.7%,2023
Female,All Schools,safety_day,going out during the day,Neither safe or unsafe,2770,8280,33.5%,31.9%,35.1%,1.6%,1.6%,2023
Female,All Schools,safety_day,going out during the day,Safe,5185,8280,62.6%,61.0%,64.2%,1.7%,1.6%,2023
Female,All Schools,safety_day,going out during the day,Unsafe,325,8280,3.9%,3.3%,4.6%,0.6%,0.7%,2023
Female,All Schools,safety_journey,going to and from school,Neither safe or unsafe,2510,8275,30.3%,28.8%,31.9%,1.5%,1.6%,2023
Female,All Schools,safety_journey,going to and from school,Safe,5380,8275,65.0%,63.4%,66.6%,1.6%,1.6%,2023
Female,All Schools,safety_journey,going to and from school,Unsafe,385,8275,4.7%,4.0%,5.4%,0.7%,0.8%,2023
Female,All Schools,safety_school,at school,Neither safe or unsafe,2330,8285,28.1%,26.6%,29.7%,1.5%,1.6%,2023
Female,All Schools,safety_school,at school,Safe,5510,8285,66.5%,64.9%,68.1%,1.6%,1.6%,2023
Female,All Schools,safety_school,at school,Unsafe,445,8285,5.4%,4.7%,6.2%,0.7%,0.8%,2023
Female,All Schools,school_supported,felt supported by their school and that they were offered help when having difficulties,No,620,2325,26.7%,23.9%,29.6%,2.7%,2.9%,2023
Female,All Schools,school_supported,felt supported by their school and that they were offered help when having difficulties,Not sure,750,2325,32.3%,29.3%,35.3%,2.9%,3.1%,2023
Female,All Schools,school_supported,felt supported by their school and that they were offered help when having difficulties,Prefer not to say,60,2325,2.6%,1.7%,3.8%,0.8%,1.2%,2023
Female,All Schools,school_supported,felt supported by their school and that they were offered help when having difficulties,Yes,895,2325,38.5%,35.4%,41.7%,3.1%,3.2%,2023
Female,All Schools,schoolsupp_academic,they find their school is supportive of their learning and education,No,405,8235,4.9%,4.2%,5.7%,0.7%,0.8%,2023
Female,All Schools,schoolsupp_academic,they find their school is supportive of their learning and education,Not sure,195,8235,2.4%,1.9%,2.9%,0.5%,0.6%,2023
Female,All Schools,schoolsupp_academic,they find their school is supportive of their learning and education,Somewhat,2520,8235,30.6%,29.1%,32.2%,1.5%,1.6%,2023
Female,All Schools,schoolsupp_academic,they find their school is supportive of their learning and education,Yes,5115,8235,62.1%,60.4%,63.7%,1.7%,1.6%,2023
Female,All Schools,schoolsupp_wellbeing,they find their school is supportive of their emotional health and wellbeing,No,1730,8215,21.1%,19.7%,22.5%,1.4%,1.4%,2023
Female,All Schools,schoolsupp_wellbeing,they find their school is supportive of their emotional health and wellbeing,Not sure,635,8215,7.7%,6.9%,8.7%,0.9%,1.0%,2023
Female,All Schools,schoolsupp_wellbeing,they find their school is supportive of their emotional health and wellbeing,Somewhat,3320,8215,40.4%,38.8%,42.1%,1.7%,1.7%,2023
Female,All Schools,schoolsupp_wellbeing,they find their school is supportive of their emotional health and wellbeing,Yes,2530,8215,30.8%,29.2%,32.4%,1.6%,1.6%,2023
Female,All Schools,schyear,school year,Not at school/other,35,8420,0.4%,0.2%,0.7%,0.2%,0.3%,2023
Female,All Schools,schyear,school year,Year 10,1300,8420,15.4%,14.3%,16.7%,1.2%,1.3%,2023
Female,All Schools,schyear,school year,Year 11,980,8420,11.6%,10.6%,12.8%,1.0%,1.1%,2023
Female,All Schools,schyear,school year,Year 12,690,8420,8.2%,7.3%,9.2%,0.9%,1.0%,2023
Female,All Schools,schyear,school year,Year 13,480,8420,5.7%,5.0%,6.5%,0.7%,0.8%,2023
Female,All Schools,schyear,school year,Year 7,1605,8420,19.1%,17.8%,20.4%,1.3%,1.4%,2023
Female,All Schools,schyear,school year,Year 8,1765,8420,21.0%,19.6%,22.4%,1.3%,1.4%,2023
Female,All Schools,schyear,school year,Year 9,1565,8420,18.6%,17.3%,19.9%,1.3%,1.3%,2023
Female,All Schools,selfharm_ever,ever self-harmed,No,5340,8225,64.9%,63.3%,66.5%,1.6%,1.6%,2023
Female,All Schools,selfharm_ever,ever self-harmed,Prefer not to say,1320,8225,16.0%,14.8%,17.3%,1.2%,1.3%,2023
Female,All Schools,selfharm_ever,ever self-harmed,Yes,1565,8225,19.0%,17.7%,20.4%,1.3%,1.4%,2023
Female,All Schools,sexuality,sexual orientation,Bisexual,610,8355,7.3%,6.5%,8.2%,0.8%,0.9%,2023
Female,All Schools,sexuality,sexual orientation,Heterosexual/Straight,6535,8355,78.2%,76.8%,79.6%,1.4%,1.4%,2023
Female,All Schools,sexuality,sexual orientation,Homosexual/Gay Male,5,8355,0.1%,0.0%,0.2%,0.0%,0.2%,2023
Female,All Schools,sexuality,sexual orientation,Homosexual/Lesbian,145,8355,1.7%,1.3%,2.2%,0.4%,0.5%,2023
Female,All Schools,sexuality,sexual orientation,Other,115,8355,1.4%,1.0%,1.8%,0.3%,0.5%,2023
Female,All Schools,sexuality,sexual orientation,Prefer not to say,385,8355,4.6%,3.9%,5.4%,0.7%,0.8%,2023
Female,All Schools,sexuality,sexual orientation,Questioning,125,8355,1.5%,1.1%,2.0%,0.4%,0.5%,2023
Female,All Schools,sexuality,sexual orientation,Unsure,435,8355,5.2%,4.5%,6.0%,0.7%,0.8%,2023
Female,All Schools,sh_16,Most 16 year olds have not had sex,Agree,925,3380,27.4%,25.1%,29.8%,2.3%,2.4%,2023
Female,All Schools,sh_16,Most 16 year olds have not had sex,Disagree,975,3380,28.8%,26.5%,31.3%,2.3%,2.5%,2023
Female,All Schools,sh_16,Most 16 year olds have not had sex,Not sure,1480,3380,43.8%,41.2%,46.4%,2.6%,2.7%,2023
Female,All Schools,sh_access,they know how to access sexual health services?,No,2700,8095,33.4%,31.8%,35.0%,1.6%,1.6%,2023
Female,All Schools,sh_access,they know how to access sexual health services?,Not sure,2510,8095,31.0%,29.4%,32.6%,1.6%,1.6%,2023
Female,All Schools,sh_access,they know how to access sexual health services?,Yes,2885,8095,35.6%,34.0%,37.3%,1.6%,1.7%,2023
Female,All Schools,sh_condoms,Using condoms is necessary to prevent sexually transmitted infections and unplanned pregnancies,Agree,3060,3375,90.7%,89.0%,92.1%,1.7%,1.4%,2023
Female,All Schools,sh_condoms,Using condoms is necessary to prevent sexually transmitted infections and unplanned pregnancies,Disagree,100,3375,3.0%,2.2%,4.0%,0.8%,1.0%,2023
Female,All Schools,sh_condoms,Using condoms is necessary to prevent sexually transmitted infections and unplanned pregnancies,Not sure,215,3375,6.4%,5.2%,7.8%,1.2%,1.4%,2023
Female,All Schools,sh_condomsti,"If you have sex without a condom, you should get an STI test.",Agree,2225,3370,66.0%,63.5%,68.5%,2.6%,2.5%,2023
Female,All Schools,sh_condomsti,"If you have sex without a condom, you should get an STI test.",Disagree,315,3370,9.3%,7.9%,11.0%,1.4%,1.7%,2023
Female,All Schools,sh_condomsti,"If you have sex without a condom, you should get an STI test.",Not sure,830,3370,24.6%,22.4%,27.0%,2.2%,2.4%,2023
Female,All Schools,sh_pregnancy,Getting pregnant or getting someone else pregnant now would negatively affect my future plans,Agree,2630,3390,77.6%,75.3%,79.7%,2.3%,2.1%,2023
Female,All Schools,sh_pregnancy,Getting pregnant or getting someone else pregnant now would negatively affect my future plans,Disagree,215,3390,6.3%,5.2%,7.8%,1.2%,1.4%,2023
Female,All Schools,sh_pregnancy,Getting pregnant or getting someone else pregnant now would negatively affect my future plans,Not sure,545,3390,16.1%,14.2%,18.1%,1.9%,2.0%,2023
Female,All Schools,sh_pressure,There is pressure on young people to have sex,Agree,1655,3380,49.0%,46.3%,51.6%,2.7%,2.7%,2023
Female,All Schools,sh_pressure,There is pressure on young people to have sex,Disagree,730,3380,21.6%,19.5%,23.9%,2.1%,2.3%,2023
Female,All Schools,sh_pressure,There is pressure on young people to have sex,Not sure,995,3380,29.4%,27.1%,31.9%,2.4%,2.5%,2023
Female,All Schools,sh_schooled,I think the quality of the relationships and sex education I receive at school is good.,Agree,1440,3365,42.8%,40.2%,45.4%,2.6%,2.7%,2023
Female,All Schools,sh_schooled,I think the quality of the relationships and sex education I receive at school is good.,Disagree,665,3365,19.8%,17.7%,22.0%,2.0%,2.2%,2023
Female,All Schools,sh_schooled,I think the quality of the relationships and sex education I receive at school is good.,Not sure,1260,3365,37.4%,34.9%,40.1%,2.5%,2.6%,2023
Female,All Schools,sh_serious,Being in a serious/long-term relationship before having sex is important,Agree,2000,3380,59.2%,56.5%,61.8%,2.6%,2.6%,2023
Female,All Schools,sh_serious,Being in a serious/long-term relationship before having sex is important,Disagree,520,3380,15.4%,13.6%,17.4%,1.8%,2.0%,2023
Female,All Schools,sh_serious,Being in a serious/long-term relationship before having sex is important,Not sure,860,3380,25.4%,23.2%,27.8%,2.2%,2.4%,2023
Female,All Schools,sh_support,their preferable source of support to get contraception or a test for Sexually Transmitted Infection (STI),Doctor,2590,7620,34.0%,32.3%,35.7%,1.7%,1.7%,2023
Female,All Schools,sh_support,their preferable source of support to get contraception or a test for Sexually Transmitted Infection (STI),Helpline,170,7620,2.2%,1.8%,2.8%,0.5%,0.6%,2023
Female,All Schools,sh_support,their preferable source of support to get contraception or a test for Sexually Transmitted Infection (STI),Online (e.g. Sexwise website),435,7620,5.7%,4.9%,6.6%,0.8%,0.9%,2023
Female,All Schools,sh_support,their preferable source of support to get contraception or a test for Sexually Transmitted Infection (STI),Other,680,7620,8.9%,8.0%,10.0%,1.0%,1.1%,2023
Female,All Schools,sh_support,their preferable source of support to get contraception or a test for Sexually Transmitted Infection (STI),Pharmacy,1110,7620,14.6%,13.4%,15.9%,1.2%,1.3%,2023
Female,All Schools,sh_support,their preferable source of support to get contraception or a test for Sexually Transmitted Infection (STI),Prefer not to say,1105,7620,14.5%,13.3%,15.8%,1.2%,1.3%,2023
Female,All Schools,sh_support,their preferable source of support to get contraception or a test for Sexually Transmitted Infection (STI),School/College,255,7620,3.3%,2.8%,4.0%,0.6%,0.7%,2023
Female,All Schools,sh_support,their preferable source of support to get contraception or a test for Sexually Transmitted Infection (STI),Sexual health clinic,1155,7620,15.2%,13.9%,16.5%,1.2%,1.3%,2023
Female,All Schools,sh_support,their preferable source of support to get contraception or a test for Sexually Transmitted Infection (STI),Youth Worker/Service,120,7620,1.6%,1.2%,2.1%,0.4%,0.5%,2023
Female,All Schools,sh_wait,It is fine to wait to have sex,Agree,3235,3370,96.0%,94.8%,96.9%,1.2%,0.9%,2023
Female,All Schools,sh_wait,It is fine to wait to have sex,Disagree,15,3370,0.4%,0.2%,1.0%,0.2%,0.5%,2023
Female,All Schools,sh_wait,It is fine to wait to have sex,Not sure,120,3370,3.6%,2.7%,4.7%,0.9%,1.1%,2023
Female,All Schools,shinfo_clinic,sexual health clinics,No,8330,8430,98.8%,98.4%,99.1%,0.4%,0.3%,2023
Female,All Schools,shinfo_clinic,sexual health clinics,Yes,100,8430,1.2%,0.9%,1.6%,0.3%,0.4%,2023
Female,All Schools,shinfo_doctor,health professionals,No,8125,8425,96.4%,95.8%,97.0%,0.7%,0.6%,2023
Female,All Schools,shinfo_doctor,health professionals,Yes,300,8425,3.6%,3.0%,4.2%,0.6%,0.7%,2023
Female,All Schools,shinfo_friends,friends,No,5770,8425,68.5%,66.9%,70.0%,1.6%,1.5%,2023
Female,All Schools,shinfo_friends,friends,Yes,2655,8425,31.5%,30.0%,33.1%,1.5%,1.6%,2023
Female,All Schools,shinfo_healthsite,healthcare websites,No,7815,8425,92.8%,91.8%,93.6%,0.9%,0.8%,2023
Female,All Schools,shinfo_healthsite,healthcare websites,Yes,610,8425,7.2%,6.4%,8.2%,0.8%,0.9%,2023
Female,All Schools,shinfo_helpline,telephone helplines,No,8415,8425,99.9%,99.7%,100.0%,0.2%,0.1%,2023
Female,All Schools,shinfo_helpline,telephone helplines,Yes,10,8425,0.1%,0.0%,0.3%,0.1%,0.2%,2023
Female,All Schools,shinfo_media,media,No,6955,8425,82.6%,81.2%,83.8%,1.3%,1.2%,2023
Female,All Schools,shinfo_media,media,Yes,1470,8425,17.4%,16.2%,18.8%,1.2%,1.3%,2023
Female,All Schools,shinfo_other,other,No,7950,8425,94.4%,93.5%,95.1%,0.8%,0.7%,2023
Female,All Schools,shinfo_other,other,Yes,475,8425,5.6%,4.9%,6.5%,0.7%,0.8%,2023
Female,All Schools,shinfo_parents,parents,No,5380,8425,63.9%,62.2%,65.5%,1.6%,1.6%,2023
