year,breakdown,school,question,question_text,response,count,denominator,value,lowercl,uppercl,lowereb,uppereb,order,question_raw,question_theme,reworded,survey_text,menu_text,multi_cat,multi_binary,question_coded_gen,survey_text_gen,response_of_interest,heading,question_response,polarity,rotation,question_type
2022,Female,All Schools,mental_howaccess,"know how to access services if they are worried about, or are looking for more information about their mental health",No,840,5760,14.6%,13.2%,16.1%,1.4%,1.5%,54,Q8978246,Mental Health and Wellbeing,"The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b>, was %s %s students (%s).",Do you know where to find information about looking after your mental health,NA,FALSE,FALSE,mental_howaccess,Do you know where to find information about looking after your mental health,TRUE,Knowing where to find info about mental health,Doesn't know how to access mental health services,NA,1,NA
2022,Female,All Schools,mental_howaccess,"know how to access services if they are worried about, or are looking for more information about their mental health",Not sure,1340,5760,23.3%,21.6%,25.0%,1.7%,1.8%,57,Q8978246,Mental Health and Wellbeing,"The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b>, was %s %s students (%s).",Do you know where to find information about looking after your mental health,NA,FALSE,FALSE,mental_howaccess,Do you know where to find information about looking after your mental health,FALSE,Knowing where to find info about mental health,NA,NA,0,Simple
2022,Female,All Schools,mental_howaccess,"know how to access services if they are worried about, or are looking for more information about their mental health",Not sure,1340,5760,23.3%,21.6%,25.0%,1.7%,1.8%,54,Q8978246,Mental Health and Wellbeing,"The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b>, was %s %s students (%s).",Do you know where to find information about looking after your mental health,NA,FALSE,FALSE,mental_howaccess,Do you know where to find information about looking after your mental health,FALSE,Knowing where to find info about mental health,NA,NA,1,NA
2022,Female,All Schools,mental_howaccess,"know how to access services if they are worried about, or are looking for more information about their mental health",Yes,3580,5760,62.2%,60.2%,64.1%,2.0%,2.0%,57,Q8978246,Mental Health and Wellbeing,"The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b>, was %s %s students (%s).",Do you know where to find information about looking after your mental health,NA,FALSE,FALSE,mental_howaccess,Do you know where to find information about looking after your mental health,FALSE,Knowing where to find info about mental health,NA,RAG - High is good,0,Simple
2022,Female,All Schools,mental_howaccess,"know how to access services if they are worried about, or are looking for more information about their mental health",Yes,3580,5760,62.2%,60.2%,64.1%,2.0%,2.0%,54,Q8978246,Mental Health and Wellbeing,"The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b>, was %s %s students (%s).",Do you know where to find information about looking after your mental health,NA,FALSE,FALSE,mental_howaccess,Do you know where to find information about looking after your mental health,FALSE,Knowing where to find info about mental health,NA,RAG - High is good,1,NA
2022,Female,All Schools,mental_internet,online,No,5850,5850,100.0%,99.8%,100.0%,0.2%,-0.0%,56,Q8978248.5,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from online if they were struggling with their mental health,online,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,FALSE,Where they'd get support for mental health,NA,NA,1,NA
2022,Female,All Schools,mental_none,other,No,4560,5845,78.0%,76.3%,79.6%,1.7%,1.6%,59.5,Q8978248.9,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from other sources if they were struggling with their mental health,other,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,FALSE,Where they'd get support for mental health,NA,NA,1,Multiple Select
2022,Female,All Schools,mental_none,other,No,4560,5845,78.0%,76.3%,79.6%,1.7%,1.6%,56,Q8978248.9,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from other sources if they were struggling with their mental health,other,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,FALSE,Where they'd get support for mental health,NA,NA,1,NA
2022,Female,All Schools,mental_none,other,Yes,1285,5845,22.0%,20.4%,23.7%,1.6%,1.7%,59.5,Q8978248.9,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from other sources if they were struggling with their mental health,other,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,TRUE,Where they'd get support for mental health,Would want mental health support from other sources,NA,1,Multiple Select
2022,Female,All Schools,mental_none,other,Yes,1285,5845,22.0%,20.4%,23.7%,1.6%,1.7%,56,Q8978248.9,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from other sources if they were struggling with their mental health,other,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,TRUE,Where they'd get support for mental health,Would want mental health support from other sources,NA,1,NA
2022,Female,All Schools,mental_nurse,a school nurse,No,5635,5845,96.4%,95.6%,97.1%,0.8%,0.7%,59.7,Q8978248.11,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from a school nurse if they were struggling with their mental health,school nurse,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,FALSE,Where they'd get support for mental health,NA,NA,1,Multiple Select
2022,Female,All Schools,mental_nurse,a school nurse,No,5635,5845,96.4%,95.6%,97.1%,0.8%,0.7%,56,Q8978248.11,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from a school nurse if they were struggling with their mental health,school nurse,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,FALSE,Where they'd get support for mental health,NA,NA,1,NA
2022,Female,All Schools,mental_nurse,a school nurse,Yes,210,5845,3.6%,2.9%,4.4%,0.7%,0.8%,59.7,Q8978248.11,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from a school nurse if they were struggling with their mental health,school nurse,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,TRUE,Where they'd get support for mental health,Would want mental health support from a school nurse,NA,1,Multiple Select
2022,Female,All Schools,mental_nurse,a school nurse,Yes,210,5845,3.6%,2.9%,4.4%,0.7%,0.8%,56,Q8978248.11,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from a school nurse if they were struggling with their mental health,school nurse,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,TRUE,Where they'd get support for mental health,Would want mental health support from a school nurse,NA,1,NA
2022,Female,All Schools,mental_parents,parents/carers,No,2140,5845,36.6%,34.7%,38.6%,1.9%,2.0%,59.6,Q8978248.10,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from their parents/carers if they were struggling with their mental health,parents/carers,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,FALSE,Where they'd get support for mental health,NA,NA,1,Multiple Select
2022,Female,All Schools,mental_parents,parents/carers,No,2140,5845,36.6%,34.7%,38.6%,1.9%,2.0%,56,Q8978248.10,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from their parents/carers if they were struggling with their mental health,parents/carers,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,FALSE,Where they'd get support for mental health,NA,NA,1,NA
2022,Female,All Schools,mental_parents,parents/carers,Yes,3705,5845,63.4%,61.4%,65.3%,2.0%,1.9%,59.6,Q8978248.10,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from their parents/carers if they were struggling with their mental health,parents/carers,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,TRUE,Where they'd get support for mental health,Would want mental health support from parents/carers,NA,1,Multiple Select
2022,Female,All Schools,mental_parents,parents/carers,Yes,3705,5845,63.4%,61.4%,65.3%,2.0%,1.9%,56,Q8978248.10,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from their parents/carers if they were struggling with their mental health,parents/carers,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,TRUE,Where they'd get support for mental health,Would want mental health support from parents/carers,NA,1,NA
2022,Female,All Schools,mental_school,the school,No,4050,5850,69.2%,67.3%,71.1%,1.9%,1.8%,59.2,Q8978248.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from the school if they were struggling with their mental health,school,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,FALSE,Where they'd get support for mental health,NA,NA,1,Multiple Select
2022,Female,All Schools,mental_school,the school,No,4050,5850,69.2%,67.3%,71.1%,1.9%,1.8%,56,Q8978248.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from the school if they were struggling with their mental health,school,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,FALSE,Where they'd get support for mental health,NA,NA,1,NA
2022,Female,All Schools,mental_school,the school,Yes,1800,5850,30.8%,28.9%,32.7%,1.8%,1.9%,59.2,Q8978248.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from the school if they were struggling with their mental health,school,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,TRUE,Where they'd get support for mental health,Would want mental health support from the school,NA,1,Multiple Select
2022,Female,All Schools,mental_school,the school,Yes,1800,5850,30.8%,28.9%,32.7%,1.8%,1.9%,56,Q8978248.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they would want mental health support from <b>%s</b> was %s %s students (%s).,Would want support from the school if they were struggling with their mental health,school,FALSE,TRUE,mental,Where would you want support from if you were struggling with your mental health?,TRUE,Where they'd get support for mental health,Would want mental health support from the school,NA,1,NA
