year,breakdown,school,question,question_text,response,count,denominator,value,lowercl,uppercl,lowereb,uppereb,order,question_raw,question_theme,reworded,survey_text,menu_text,multi_cat,multi_binary,question_coded_gen,survey_text_gen,response_of_interest,heading,question_response,polarity,rotation,question_type
2023,All Responses,All Schools,bullied_none,have no experiences with bullying,No,8580,16290,52.7%,51.5%,53.9%,1.2%,1.2%,63.3,Q15140168.3,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you bullied someone or have been bullied?,Has not bullied/been bullied,FALSE,TRUE,bullied,Please describe your experiences with bullying.,FALSE,Bullying,NA,NA,0,Lengthy
2023,All Responses,All Schools,bullied_none,have no experiences with bullying,No,8580,16290,52.7%,51.5%,53.9%,1.2%,1.2%,59,Q15140168.3,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you bullied someone or have been bullied?,Has not bullied/been bullied,FALSE,TRUE,bullied,Please describe your experiences with bullying.,FALSE,Bullying,NA,NA,1,NA
2023,All Responses,All Schools,bullied_none,have no experiences with bullying,Yes,7710,16290,47.3%,46.1%,48.5%,1.2%,1.2%,63.3,Q15140168.3,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you bullied someone or have been bullied?,Has not bullied/been bullied,FALSE,TRUE,bullied,Please describe your experiences with bullying.,FALSE,Bullying,NA,NA,0,Lengthy
2023,All Responses,All Schools,bullied_none,have no experiences with bullying,Yes,7710,16290,47.3%,46.1%,48.5%,1.2%,1.2%,59,Q15140168.3,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you bullied someone or have been bullied?,Has not bullied/been bullied,FALSE,TRUE,bullied,Please describe your experiences with bullying.,FALSE,Bullying,NA,NA,1,NA
2023,All Responses,All Schools,bullied_others,have ever bullied or picked on someone else,No,14945,16295,91.7%,91.0%,92.4%,0.7%,0.6%,63,Q15140168,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you ever bullied or picked on someone else?,Has bullied or picked on someone else,FALSE,TRUE,bullied,Please describe your experiences with bullying.,FALSE,Bullying,NA,NA,0,Lengthy
2023,All Responses,All Schools,bullied_others,have ever bullied or picked on someone else,No,14945,16295,91.7%,91.0%,92.4%,0.7%,0.6%,59,Q15140168,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you ever bullied or picked on someone else?,Has bullied or picked on someone else,FALSE,TRUE,bullied,Please describe your experiences with bullying.,FALSE,Bullying,NA,NA,1,NA
2023,All Responses,All Schools,bullied_others,have ever bullied or picked on someone else,Yes,1350,16295,8.3%,7.6%,9.0%,0.6%,0.7%,63,Q15140168,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you ever bullied or picked on someone else?,Has bullied or picked on someone else,FALSE,TRUE,bullied,Please describe your experiences with bullying.,TRUE,Bullying,Bullied/picked on someone else,NA,0,Lengthy
2023,All Responses,All Schools,bullied_others,have ever bullied or picked on someone else,Yes,1350,16295,8.3%,7.6%,9.0%,0.6%,0.7%,59,Q15140168,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you ever bullied or picked on someone else?,Has bullied or picked on someone else,FALSE,TRUE,bullied,Please describe your experiences with bullying.,TRUE,Bullying,Bullied/picked on someone else,NA,1,NA
2023,All Responses,All Schools,bullied_outschool,they have been bullied somewhere other than school,No,15075,16295,92.5%,91.9%,93.1%,0.7%,0.6%,65.2,Q8978252.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s<b> was %s %s students (%s).,Have you been bullied somewhere other than school?,Has been bullied somewhere other than school,FALSE,TRUE,bullied_place,Where have you been bullied or picked on? (If they had been bullied before.),FALSE,Where they were bullied,NA,NA,0,Simple
2023,All Responses,All Schools,bullied_outschool,they have been bullied somewhere other than school,No,15075,16295,92.5%,91.9%,93.1%,0.7%,0.6%,61,Q8978252.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s<b> was %s %s students (%s).,Have you been bullied somewhere other than school?,Has been bullied somewhere other than school,FALSE,TRUE,bullied,Where have you been bullied or picked on?,FALSE,Where they were bullied,NA,NA,1,NA
2023,All Responses,All Schools,bullied_outschool,they have been bullied somewhere other than school,Yes,1220,16295,7.5%,6.9%,8.1%,0.6%,0.7%,65.2,Q8978252.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s<b> was %s %s students (%s).,Have you been bullied somewhere other than school?,Has been bullied somewhere other than school,FALSE,TRUE,bullied_place,Where have you been bullied or picked on? (If they had been bullied before.),TRUE,Where they were bullied,Bullied at somewhere other than school,NA,0,Simple
2023,All Responses,All Schools,bullied_outschool,they have been bullied somewhere other than school,Yes,1220,16295,7.5%,6.9%,8.1%,0.6%,0.7%,61,Q8978252.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s<b> was %s %s students (%s).,Have you been bullied somewhere other than school?,Has been bullied somewhere other than school,FALSE,TRUE,bullied,Where have you been bullied or picked on?,TRUE,Where they were bullied,Bullied at somewhere other than school,NA,1,NA
