year,breakdown,school,question,question_text,response,count,denominator,value,lowercl,uppercl,lowereb,uppereb
2022,All Responses,All Schools,drugsupp_friends,from friends,No,6920,11150,62.1%,60.6%,63.5%,1.4%,1.4%
2022,All Responses,All Schools,drugsupp_friends,from friends,Yes,4230,11150,37.9%,36.5%,39.4%,1.4%,1.4%
2022,All Responses,All Schools,drugsupp_internet,from the internet,No,8275,11150,74.2%,72.9%,75.5%,1.3%,1.3%
2022,All Responses,All Schools,drugsupp_internet,from the internet,Yes,2875,11150,25.8%,24.5%,27.1%,1.3%,1.3%
2022,All Responses,All Schools,drugsupp_other,from other sources,No,10345,11150,92.8%,92.0%,93.5%,0.8%,0.7%
2022,All Responses,All Schools,drugsupp_other,from other sources,Yes,805,11150,7.2%,6.5%,8.0%,0.7%,0.8%
2022,All Responses,All Schools,drugsupp_teacher,from a teacher,No,8505,11150,76.3%,75.0%,77.5%,1.3%,1.2%
2022,All Responses,All Schools,drugsupp_teacher,from a teacher,Yes,2645,11150,23.7%,22.5%,25.0%,1.2%,1.3%
2022,All Responses,All Schools,drugsupp_ypservice,from Drug & Alcohol Services for young people,No,8745,11150,78.4%,77.2%,79.6%,1.2%,1.2%
2022,All Responses,All Schools,drugsupp_ypservice,from Drug & Alcohol Services for young people,Yes,2405,11150,21.6%,20.4%,22.8%,1.2%,1.2%
2022,All Responses,All Schools,drugsupp_yw,from a Youth Worker,No,10365,11150,93.0%,92.2%,93.7%,0.8%,0.7%
2022,All Responses,All Schools,drugsupp_yw,from a Youth Worker,Yes,785,11150,7.0%,6.3%,7.8%,0.7%,0.8%
2022,All Responses,All Schools,ecstasy_exp,ecstasy,No,795,870,91.4%,88.0%,93.9%,3.4%,2.5%
2022,All Responses,All Schools,ecstasy_exp,ecstasy,Yes,75,870,8.6%,6.1%,12.0%,2.5%,3.4%
2022,All Responses,All Schools,ecstasy_offered,ecstasy,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,ethnicity,ethnicity,Any other ethnic group,190,10840,1.8%,1.4%,2.2%,0.3%,0.4%
2022,All Responses,All Schools,ethnicity,ethnicity,Asian,1780,10840,16.4%,15.4%,17.5%,1.1%,1.1%
2022,All Responses,All Schools,ethnicity,ethnicity,Black,695,10840,6.4%,5.7%,7.2%,0.7%,0.8%
2022,All Responses,All Schools,ethnicity,ethnicity,Mixed,235,10840,2.2%,1.8%,2.6%,0.4%,0.5%
2022,All Responses,All Schools,ethnicity,ethnicity,Prefer not to say,130,10840,1.2%,0.9%,1.6%,0.3%,0.4%
2022,All Responses,All Schools,ethnicity,ethnicity,White,7810,10840,72.0%,70.7%,73.4%,1.4%,1.3%
2022,All Responses,All Schools,hallucinogen_natural_exp,hallucinogens,No,785,870,90.2%,86.7%,92.9%,3.6%,2.7%
2022,All Responses,All Schools,hallucinogen_natural_exp,hallucinogens,Yes,85,870,9.8%,7.1%,13.3%,2.7%,3.6%
2022,All Responses,All Schools,hallucinogen_offered,hallucinogens,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,heroin_exp,heroin,No,815,870,93.7%,90.6%,95.8%,3.1%,2.1%
2022,All Responses,All Schools,heroin_exp,heroin,Yes,55,870,6.3%,4.2%,9.4%,2.1%,3.1%
2022,All Responses,All Schools,heroin_offered,heroin,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,herts_just_talk,have heard of Herts Just Talk,No,3890,10940,35.6%,34.2%,37.0%,1.4%,1.4%
2022,All Responses,All Schools,herts_just_talk,have heard of Herts Just Talk,Unsure,1735,10940,15.9%,14.8%,17.0%,1.0%,1.1%
2022,All Responses,All Schools,herts_just_talk,have heard of Herts Just Talk,Yes,2445,10940,22.3%,21.1%,23.6%,1.2%,1.3%
2022,All Responses,All Schools,herts_just_talk,have heard of Herts Just Talk,"Yes I’ve heard of it, but I’m not sure what it is",2870,10940,26.2%,25.0%,27.6%,1.3%,1.3%
2022,All Responses,All Schools,home_shouting,have ever been frightened by any shouting and arguing between adults or older siblings at home in the last month,Most days/Every day,545,10860,5.0%,4.4%,5.7%,0.6%,0.7%
2022,All Responses,All Schools,home_shouting,have ever been frightened by any shouting and arguing between adults or older siblings at home in the last month,No,7075,10860,65.1%,63.7%,66.5%,1.4%,1.4%
2022,All Responses,All Schools,home_shouting,have ever been frightened by any shouting and arguing between adults or older siblings at home in the last month,Once a week,505,10860,4.7%,4.1%,5.3%,0.6%,0.7%
2022,All Responses,All Schools,home_shouting,have ever been frightened by any shouting and arguing between adults or older siblings at home in the last month,Once or twice,1965,10860,18.1%,17.0%,19.3%,1.1%,1.2%
2022,All Responses,All Schools,home_shouting,have ever been frightened by any shouting and arguing between adults or older siblings at home in the last month,Prefer not to say,770,10860,7.1%,6.4%,7.9%,0.7%,0.8%
2022,All Responses,All Schools,home_violence,"if there has been any violence (e.g. hitting, punching, slapping) between adults or older siblings at home in the last month",Most days/Every day,135,10880,1.2%,1.0%,1.6%,0.3%,0.4%
2022,All Responses,All Schools,home_violence,"if there has been any violence (e.g. hitting, punching, slapping) between adults or older siblings at home in the last month",No,9730,10880,89.4%,88.5%,90.3%,0.9%,0.9%
2022,All Responses,All Schools,home_violence,"if there has been any violence (e.g. hitting, punching, slapping) between adults or older siblings at home in the last month",Once a week,105,10880,1.0%,0.7%,1.3%,0.2%,0.3%
2022,All Responses,All Schools,home_violence,"if there has been any violence (e.g. hitting, punching, slapping) between adults or older siblings at home in the last month",Once or twice,370,10880,3.4%,2.9%,4.0%,0.5%,0.6%
2022,All Responses,All Schools,home_violence,"if there has been any violence (e.g. hitting, punching, slapping) between adults or older siblings at home in the last month",Prefer not to say,540,10880,5.0%,4.4%,5.6%,0.6%,0.7%
2022,All Responses,All Schools,hopeful_future,feel hopeful about their future,Always,1925,10930,17.6%,16.5%,18.8%,1.1%,1.2%
2022,All Responses,All Schools,hopeful_future,feel hopeful about their future,Never,725,10930,6.6%,5.9%,7.4%,0.7%,0.8%
2022,All Responses,All Schools,hopeful_future,feel hopeful about their future,Often,3705,10930,33.9%,32.5%,35.3%,1.4%,1.4%
2022,All Responses,All Schools,hopeful_future,feel hopeful about their future,Sometimes,4575,10930,41.9%,40.4%,43.3%,1.5%,1.5%
2022,All Responses,All Schools,imd_quintile,for their resident postcode,Quintile 1 - Most Deprived,920,11150,8.3%,7.5%,9.1%,0.8%,0.8%
2022,All Responses,All Schools,imd_quintile,for their resident postcode,Quintile 2,1285,11150,11.5%,10.6%,12.5%,0.9%,1.0%
2022,All Responses,All Schools,imd_quintile,for their resident postcode,Quintile 3,1555,11150,13.9%,13.0%,15.0%,1.0%,1.0%
2022,All Responses,All Schools,imd_quintile,for their resident postcode,Quintile 4,1630,11150,14.6%,13.6%,15.7%,1.0%,1.1%
2022,All Responses,All Schools,imd_quintile,for their resident postcode,Quintile 5 - Least Deprived,2195,11150,19.7%,18.5%,20.9%,1.1%,1.2%
2022,All Responses,All Schools,imd_quintile,for their resident postcode,unknown,3565,11150,32.0%,30.6%,33.4%,1.3%,1.4%
2022,All Responses,All Schools,internet_info_provided,have been provided with online safety info,No,2440,10645,22.9%,21.7%,24.2%,1.2%,1.3%
2022,All Responses,All Schools,internet_info_provided,have been provided with online safety info,Yes,8205,10645,77.1%,75.8%,78.3%,1.3%,1.2%
2022,All Responses,All Schools,internet_met,have ever met someone in real life whom they first met online,No,8590,10800,79.5%,78.3%,80.7%,1.2%,1.2%
2022,All Responses,All Schools,internet_met,have ever met someone in real life whom they first met online,Yes,2210,10800,20.5%,19.3%,21.7%,1.2%,1.2%
2022,All Responses,All Schools,internet_personalinfo,have ever shared personal information with someone they have not met in real life,No,9030,10785,83.7%,82.6%,84.8%,1.1%,1.1%
