year,breakdown,school,question,question_text,response,count,denominator,value,lowercl,uppercl,lowereb,uppereb
2022,Female,All Schools,buyalc_internet,from the internet,No,1585,1600,99.1%,98.0%,99.6%,1.1%,0.5%
2022,Female,All Schools,buyalc_internet,from the internet,Yes,15,1600,0.9%,0.4%,2.0%,0.5%,1.1%
2022,Female,All Schools,buyalc_pubbar,from a pub/bar,No,1425,1600,89.1%,86.4%,91.2%,2.6%,2.2%
2022,Female,All Schools,buyalc_pubbar,from a pub/bar,Yes,175,1600,10.9%,8.8%,13.6%,2.2%,2.6%
2022,Female,All Schools,buyalc_smallshop,from a small shop/off-licence,No,1325,1600,82.8%,79.7%,85.5%,3.1%,2.7%
2022,Female,All Schools,buyalc_smallshop,from a small shop/off-licence,Yes,275,1600,17.2%,14.5%,20.3%,2.7%,3.1%
2022,Female,All Schools,buyalc_supermarket,from a supermarket,No,1420,1600,88.8%,86.1%,91.0%,2.7%,2.2%
2022,Female,All Schools,buyalc_supermarket,from a supermarket,Yes,180,1600,11.2%,9.0%,13.9%,2.2%,2.7%
2022,Female,All Schools,buycig_friend,from a friend or relative,No,165,245,67.3%,57.6%,75.8%,9.8%,8.5%
2022,Female,All Schools,buycig_friend,from a friend or relative,Yes,80,245,32.7%,24.2%,42.4%,8.5%,9.8%
2022,Female,All Schools,buycig_internet,from the internet,No,245,250,98.0%,93.0%,99.4%,5.0%,1.4%
2022,Female,All Schools,buycig_internet,from the internet,Yes,5,250,2.0%,0.6%,7.0%,1.4%,5.0%
2022,Female,All Schools,buycig_pubbar,from a pub/bar,No,240,250,96.0%,90.2%,98.4%,5.8%,2.4%
2022,Female,All Schools,buycig_pubbar,from a pub/bar,Yes,10,250,4.0%,1.6%,9.8%,2.4%,5.8%
2022,Female,All Schools,buycig_smallshop,from a small shop/off-licence,No,160,250,64.0%,54.3%,72.7%,9.7%,8.7%
2022,Female,All Schools,buycig_smallshop,from a small shop/off-licence,Yes,90,250,36.0%,27.3%,45.7%,8.7%,9.7%
2022,Female,All Schools,buycig_supermarker,from a supermarket,No,235,250,94.0%,87.5%,97.2%,6.5%,3.2%
2022,Female,All Schools,buycig_supermarker,from a supermarket,Yes,15,250,6.0%,2.8%,12.5%,3.2%,6.5%
2022,Female,All Schools,buydrug_bar,pubs/bars/clubs,No,420,425,98.8%,95.8%,99.7%,3.0%,0.9%
2022,Female,All Schools,buydrug_bar,pubs/bars/clubs,Yes,5,425,1.2%,0.3%,4.2%,0.9%,3.0%
2022,Female,All Schools,buydrug_friend,friend or relative,No,235,420,56.0%,48.4%,63.2%,7.5%,7.3%
2022,Female,All Schools,buydrug_friend,friend or relative,Yes,185,420,44.0%,36.8%,51.6%,7.3%,7.5%
2022,Female,All Schools,buydrug_internet,the internet,No,410,425,96.5%,92.5%,98.4%,3.9%,1.9%
2022,Female,All Schools,buydrug_internet,the internet,Yes,15,425,3.5%,1.6%,7.5%,1.9%,3.9%
2022,Female,All Schools,buydrug_other,other sources,No,360,425,84.7%,78.6%,89.3%,6.2%,4.6%
2022,Female,All Schools,buydrug_other,other sources,Yes,65,425,15.3%,10.7%,21.4%,4.6%,6.2%
2022,Female,All Schools,buydrug_school,school,No,420,425,98.8%,95.8%,99.7%,3.0%,0.9%
2022,Female,All Schools,buydrug_school,school,Yes,5,425,1.2%,0.3%,4.2%,0.9%,3.0%
2022,Female,All Schools,buydrug_streets,on the street,No,375,420,89.3%,83.7%,93.1%,5.6%,3.8%
2022,Female,All Schools,buydrug_streets,on the street,Yes,45,420,10.7%,6.9%,16.3%,3.8%,5.6%
2022,Female,All Schools,cannabis_exp,cannabis,No,195,425,45.9%,38.6%,53.4%,7.3%,7.5%
2022,Female,All Schools,cannabis_exp,cannabis,Yes,230,425,54.1%,46.6%,61.4%,7.5%,7.3%
2022,Female,All Schools,cannabis_offered,cannabis,No,5850,5850,100.0%,99.8%,100.0%,0.2%,-0.0%
2022,Female,All Schools,caring,"help to look after a family member with a serious, mental or physical, illness or disability",No,4870,5785,84.2%,82.6%,85.6%,1.5%,1.4%
2022,Female,All Schools,caring,"help to look after a family member with a serious, mental or physical, illness or disability",Prefer not to say,355,5785,6.1%,5.2%,7.2%,0.9%,1.0%
2022,Female,All Schools,caring,"help to look after a family member with a serious, mental or physical, illness or disability",Yes,560,5785,9.7%,8.5%,10.9%,1.1%,1.3%
2022,Female,All Schools,carry_protection,carry weapons for protection when going out,Always,25,5760,0.4%,0.2%,0.8%,0.2%,0.4%
2022,Female,All Schools,carry_protection,carry weapons for protection when going out,Never,5395,5760,93.7%,92.6%,94.6%,1.1%,0.9%
2022,Female,All Schools,carry_protection,carry weapons for protection when going out,Prefer not to say,110,5760,1.9%,1.4%,2.6%,0.5%,0.6%
2022,Female,All Schools,carry_protection,carry weapons for protection when going out,Sometimes,185,5760,3.2%,2.6%,4.0%,0.6%,0.8%
2022,Female,All Schools,carry_protection,carry weapons for protection when going out,Usually,45,5760,0.8%,0.5%,1.2%,0.3%,0.4%
2022,Female,All Schools,carry_protection_other,know anyone who carries a weapons for protection when going out,Don't know,1070,5685,18.8%,17.3%,20.5%,1.5%,1.7%
2022,Female,All Schools,carry_protection_other,know anyone who carries a weapons for protection when going out,No,4020,5685,70.7%,68.8%,72.5%,1.9%,1.8%
2022,Female,All Schools,carry_protection_other,know anyone who carries a weapons for protection when going out,Prefer not to say,165,5685,2.9%,2.3%,3.7%,0.6%,0.8%
2022,Female,All Schools,carry_protection_other,know anyone who carries a weapons for protection when going out,Yes,430,5685,7.6%,6.5%,8.7%,1.0%,1.2%
2022,Female,All Schools,cla,child looked after (lived with foster carers/care home),No,5580,5775,96.6%,95.8%,97.3%,0.8%,0.7%
2022,Female,All Schools,cla,child looked after (lived with foster carers/care home),Prefer not to say,90,5775,1.6%,1.1%,2.1%,0.4%,0.6%
2022,Female,All Schools,cla,child looked after (lived with foster carers/care home),Yes,105,5775,1.8%,1.3%,2.4%,0.5%,0.6%
2022,Female,All Schools,clubs_arts,an arts and crafts group,Currently attending,480,4965,9.7%,8.4%,11.0%,1.2%,1.4%
2022,Female,All Schools,clubs_arts,an arts and crafts group,Don't want to attend,3255,4965,65.6%,63.4%,67.6%,2.1%,2.1%
2022,Female,All Schools,clubs_arts,an arts and crafts group,Would like to attend,1230,4965,24.8%,22.9%,26.7%,1.8%,1.9%
2022,Female,All Schools,clubs_doe,Duke of Edinburgh,Currently attending,955,4980,19.2%,17.5%,21.0%,1.7%,1.8%
2022,Female,All Schools,clubs_doe,Duke of Edinburgh,Don't want to attend,2905,4980,58.3%,56.2%,60.5%,2.2%,2.1%
2022,Female,All Schools,clubs_doe,Duke of Edinburgh,Would like to attend,1120,4980,22.5%,20.7%,24.4%,1.8%,1.9%
2022,Female,All Schools,clubs_music,a music club/group,Currently attending,1075,5015,21.4%,19.7%,23.3%,1.7%,1.8%
2022,Female,All Schools,clubs_music,a music club/group,Don't want to attend,3225,5015,64.3%,62.2%,66.4%,2.1%,2.1%
2022,Female,All Schools,clubs_music,a music club/group,Would like to attend,715,5015,14.3%,12.8%,15.9%,1.5%,1.6%
2022,Female,All Schools,clubs_other,other group,Currently attending,775,3880,20.0%,18.1%,22.0%,1.9%,2.1%
2022,Female,All Schools,clubs_other,other group,Don't want to attend,2625,3880,67.7%,65.3%,69.9%,2.4%,2.3%
2022,Female,All Schools,clubs_other,other group,Would like to attend,480,3880,12.4%,10.8%,14.1%,1.5%,1.7%
2022,Female,All Schools,clubs_perform,a drama/performing arts/dance group,Currently attending,1360,5090,26.7%,24.8%,28.7%,1.9%,2.0%
2022,Female,All Schools,clubs_perform,a drama/performing arts/dance group,Don't want to attend,2860,5090,56.2%,54.0%,58.3%,2.2%,2.1%
2022,Female,All Schools,clubs_perform,a drama/performing arts/dance group,Would like to attend,870,5090,17.1%,15.5%,18.8%,1.6%,1.7%
2022,Female,All Schools,clubs_religion,a religious group,Currently attending,395,4840,8.2%,7.0%,9.5%,1.1%,1.3%
2022,Female,All Schools,clubs_religion,a religious group,Don't want to attend,4210,4840,87.0%,85.4%,88.4%,1.6%,1.4%
2022,Female,All Schools,clubs_religion,a religious group,Would like to attend,235,4840,4.9%,4.0%,5.9%,0.9%,1.0%
2022,Female,All Schools,clubs_schoolclub,a club/group at school,Currently attending,2240,5100,43.9%,41.8%,46.1%,2.1%,2.2%
2022,Female,All Schools,clubs_schoolclub,a club/group at school,Don't want to attend,2370,5100,46.5%,44.3%,48.6%,2.1%,2.2%
2022,Female,All Schools,clubs_schoolclub,a club/group at school,Would like to attend,490,5100,9.6%,8.4%,11.0%,1.2%,1.4%
2022,Female,All Schools,clubs_sports,a sports group,Currently attending,2620,5275,49.7%,47.5%,51.8%,2.1%,2.1%
2022,Female,All Schools,clubs_sports,a sports group,Don't want to attend,1705,5275,32.3%,30.4%,34.3%,2.0%,2.0%
2022,Female,All Schools,clubs_sports,a sports group,Would like to attend,950,5275,18.0%,16.4%,19.7%,1.6%,1.7%
2022,Female,All Schools,clubs_syp,Services for Young People,Currently attending,140,4805,2.9%,2.3%,3.8%,0.7%,0.8%
2022,Female,All Schools,clubs_syp,Services for Young People,Don't want to attend,4185,4805,87.1%,85.5%,88.5%,1.6%,1.4%
2022,Female,All Schools,clubs_syp,Services for Young People,Would like to attend,480,4805,10.0%,8.7%,11.4%,1.3%,1.4%
2022,Female,All Schools,clubs_uniformed,uniformed group,Currently attending,680,4945,13.8%,12.3%,15.3%,1.4%,1.6%
2022,Female,All Schools,clubs_uniformed,uniformed group,Don't want to attend,3875,4945,78.4%,76.5%,80.1%,1.9%,1.8%
2022,Female,All Schools,clubs_uniformed,uniformed group,Would like to attend,390,4945,7.9%,6.8%,9.2%,1.1%,1.3%
2022,Female,All Schools,clubs_volunteering,volunteering/social action group,Currently attending,760,4920,15.4%,13.9%,17.1%,1.5%,1.7%
2022,Female,All Schools,clubs_volunteering,volunteering/social action group,Don't want to attend,3085,4920,62.7%,60.6%,64.8%,2.2%,2.1%
2022,Female,All Schools,clubs_volunteering,volunteering/social action group,Would like to attend,1075,4920,21.8%,20.1%,23.7%,1.8%,1.9%
2022,Female,All Schools,cocaine_exp,cocaine,No,410,425,96.5%,92.5%,98.4%,3.9%,1.9%
2022,Female,All Schools,cocaine_exp,cocaine,Yes,15,425,3.5%,1.6%,7.5%,1.9%,3.9%
2022,Female,All Schools,cocaine_offered,cocaine,No,5850,5850,100.0%,99.8%,100.0%,0.2%,-0.0%
2022,Female,All Schools,condition_adhd,ADHD,No,5575,5850,95.3%,94.4%,96.1%,0.9%,0.8%
2022,Female,All Schools,condition_adhd,ADHD,Yes,275,5850,4.7%,3.9%,5.6%,0.8%,0.9%
2022,Female,All Schools,condition_autism,autism,No,5695,5845,97.4%,96.7%,98.0%,0.7%,0.6%
2022,Female,All Schools,condition_autism,autism,Yes,150,5845,2.6%,2.0%,3.3%,0.6%,0.7%
2022,Female,All Schools,condition_disability,physical disability,No,5765,5850,98.5%,98.0%,99.0%,0.6%,0.4%
2022,Female,All Schools,condition_disability,physical disability,Yes,85,5850,1.5%,1.0%,2.0%,0.4%,0.6%
2022,Female,All Schools,condition_mental,diagnosed mental health condition,No,5110,5850,87.4%,85.9%,88.6%,1.4%,1.3%
2022,Female,All Schools,condition_mental,diagnosed mental health condition,Yes,740,5850,12.6%,11.4%,14.1%,1.3%,1.4%
2022,Female,All Schools,condition_physical,physical condition,No,5295,5850,90.5%,89.3%,91.6%,1.3%,1.1%
2022,Female,All Schools,condition_physical,physical condition,Yes,555,5850,9.5%,8.4%,10.7%,1.1%,1.3%
2022,Female,All Schools,condition_send,special education need(s) or learning difficulty,No,5545,5845,94.9%,93.9%,95.7%,1.0%,0.8%
2022,Female,All Schools,condition_send,special education need(s) or learning difficulty,Yes,300,5845,5.1%,4.3%,6.1%,0.8%,1.0%
2022,Female,All Schools,condoms_free,they know where they can get condoms for free,No,1095,2410,45.4%,42.3%,48.6%,3.1%,3.1%
2022,Female,All Schools,condoms_free,they know where they can get condoms for free,Not sure,445,2410,18.5%,16.1%,21.0%,2.3%,2.6%
2022,Female,All Schools,condoms_free,they know where they can get condoms for free,Yes,870,2410,36.1%,33.1%,39.2%,3.0%,3.1%
2022,Female,All Schools,cope_alcohol,by drinking alcohol,No,5660,5845,96.8%,96.0%,97.5%,0.8%,0.6%
2022,Female,All Schools,cope_alcohol,by drinking alcohol,Yes,185,5845,3.2%,2.5%,4.0%,0.6%,0.8%
2022,Female,All Schools,cope_counselling,by having counselling,No,5530,5850,94.5%,93.5%,95.4%,1.0%,0.8%
2022,Female,All Schools,cope_counselling,by having counselling,Yes,320,5850,5.5%,4.6%,6.5%,0.8%,1.0%
2022,Female,All Schools,cope_creative,by doing creative activities,No,4155,5845,71.1%,69.2%,72.9%,1.9%,1.8%
2022,Female,All Schools,cope_creative,by doing creative activities,Yes,1690,5845,28.9%,27.1%,30.8%,1.8%,1.9%
2022,Female,All Schools,cope_drugs,by doing drugs,No,5775,5850,98.7%,98.2%,99.1%,0.5%,0.4%
2022,Female,All Schools,cope_drugs,by doing drugs,Yes,75,5850,1.3%,0.9%,1.8%,0.4%,0.5%
2022,Female,All Schools,cope_eat,by eating more,No,4870,5850,83.2%,81.7%,84.7%,1.6%,1.5%
2022,Female,All Schools,cope_eat,by eating more,Yes,980,5850,16.8%,15.3%,18.3%,1.5%,1.6%
2022,Female,All Schools,cope_exercise,by exercising,No,4265,5845,73.0%,71.1%,74.7%,1.8%,1.8%
2022,Female,All Schools,cope_exercise,by exercising,Yes,1580,5845,27.0%,25.3%,28.9%,1.8%,1.8%
2022,Female,All Schools,cope_games,by playing computer games,No,5255,5850,89.8%,88.5%,91.0%,1.3%,1.2%
2022,Female,All Schools,cope_games,by playing computer games,Yes,595,5850,10.2%,9.0%,11.5%,1.2%,1.3%
2022,Female,All Schools,cope_internet,by looking for help online,No,5260,5850,89.9%,88.6%,91.1%,1.3%,1.2%
2022,Female,All Schools,cope_internet,by looking for help online,Yes,590,5850,10.1%,8.9%,11.4%,1.2%,1.3%
2022,Female,All Schools,cope_music,by listening to music,No,2180,5845,37.3%,35.4%,39.3%,1.9%,2.0%
2022,Female,All Schools,cope_music,by listening to music,Yes,3665,5845,62.7%,60.7%,64.6%,2.0%,1.9%
2022,Female,All Schools,cope_nothing,by doing nothing,No,4425,5845,75.7%,73.9%,77.4%,1.8%,1.7%
2022,Female,All Schools,cope_nothing,by doing nothing,Yes,1420,5845,24.3%,22.6%,26.1%,1.7%,1.8%
2022,Female,All Schools,cope_other,by other methods,No,5345,5845,91.4%,90.2%,92.5%,1.2%,1.1%
2022,Female,All Schools,cope_other,by other methods,Yes,500,5845,8.6%,7.5%,9.8%,1.1%,1.2%
2022,Female,All Schools,cope_selfharm,by self-harm,No,5270,5850,90.1%,88.8%,91.2%,1.3%,1.1%
2022,Female,All Schools,cope_selfharm,by self-harm,Yes,580,5850,9.9%,8.8%,11.2%,1.1%,1.3%
2022,Female,All Schools,cope_smoke,by smoking,No,5770,5845,98.7%,98.2%,99.1%,0.5%,0.4%
2022,Female,All Schools,cope_smoke,by smoking,Yes,75,5845,1.3%,0.9%,1.8%,0.4%,0.5%
2022,Female,All Schools,cope_talkadult,by talking to an adult that's not their carer,No,5205,5845,89.1%,87.7%,90.2%,1.3%,1.2%
2022,Female,All Schools,cope_talkadult,by talking to an adult that's not their carer,Yes,640,5845,10.9%,9.8%,12.3%,1.2%,1.3%
2022,Female,All Schools,cope_talkfamily,by talking to family,No,3450,5845,59.0%,57.0%,61.0%,2.0%,2.0%
2022,Female,All Schools,cope_talkfamily,by talking to family,Yes,2395,5845,41.0%,39.0%,43.0%,2.0%,2.0%
2022,Female,All Schools,cope_talkfriend,by talking to a friend,No,3000,5850,51.3%,49.3%,53.3%,2.0%,2.0%
2022,Female,All Schools,cope_talkfriend,by talking to a friend,Yes,2850,5850,48.7%,46.7%,50.7%,2.0%,2.0%
2022,Female,All Schools,cope_think,by thinking of a solution on their own,No,4085,5845,69.9%,68.0%,71.7%,1.9%,1.8%
2022,Female,All Schools,cope_think,by thinking of a solution on their own,Yes,1760,5845,30.1%,28.3%,32.0%,1.8%,1.9%
2022,Female,All Schools,crack_exp,crack,No,420,425,98.8%,95.8%,99.7%,3.0%,0.9%
2022,Female,All Schools,crack_exp,crack,Yes,5,425,1.2%,0.3%,4.2%,0.9%,3.0%
2022,Female,All Schools,crack_offered,crack,No,5850,5850,100.0%,99.8%,100.0%,0.2%,-0.0%
2022,Female,All Schools,dentist,check-up at the dentist within the last year,No,745,5810,12.8%,11.5%,14.2%,1.3%,1.4%
2022,Female,All Schools,dentist,check-up at the dentist within the last year,Yes,5065,5810,87.2%,85.8%,88.5%,1.4%,1.3%
2022,Female,All Schools,diet_breakfast,breakfast,2-3 days a week,755,5780,13.1%,11.8%,14.5%,1.3%,1.4%
2022,Female,All Schools,diet_breakfast,breakfast,On most days,3400,5780,58.8%,56.8%,60.8%,2.0%,2.0%
2022,Female,All Schools,diet_breakfast,breakfast,Once a week or less,515,5780,8.9%,7.8%,10.1%,1.1%,1.2%
2022,Female,All Schools,diet_breakfast,breakfast,Rarely or never,1110,5780,19.2%,17.7%,20.9%,1.5%,1.7%
2022,Female,All Schools,diet_energydrinks,energy drinks,2-3 days a week,260,5790,4.5%,3.7%,5.4%,0.8%,0.9%
2022,Female,All Schools,diet_energydrinks,energy drinks,On most days,135,5790,2.3%,1.8%,3.0%,0.5%,0.7%
2022,Female,All Schools,diet_energydrinks,energy drinks,Once a week or less,900,5790,15.5%,14.1%,17.1%,1.4%,1.5%
2022,Female,All Schools,diet_energydrinks,energy drinks,Rarely or never,4495,5790,77.6%,75.9%,79.3%,1.7%,1.6%
2022,Female,All Schools,diet_fastfood,fast food and takeaway,2-3 days a week,255,5670,4.5%,3.7%,5.4%,0.8%,0.9%
2022,Female,All Schools,diet_fastfood,fast food and takeaway,On most days,50,5670,0.9%,0.6%,1.4%,0.3%,0.5%
2022,Female,All Schools,diet_fastfood,fast food and takeaway,Once a week or less,3125,5670,55.1%,53.1%,57.1%,2.0%,2.0%
2022,Female,All Schools,diet_fastfood,fast food and takeaway,Rarely or never,2240,5670,39.5%,37.5%,41.5%,2.0%,2.0%
2022,Female,All Schools,diet_fizzydrinks,fizzy drinks,2-3 days a week,840,5745,14.6%,13.2%,16.1%,1.4%,1.5%
2022,Female,All Schools,diet_fizzydrinks,fizzy drinks,On most days,350,5745,6.1%,5.2%,7.1%,0.9%,1.0%
2022,Female,All Schools,diet_fizzydrinks,fizzy drinks,Once a week or less,2260,5745,39.3%,37.4%,41.3%,2.0%,2.0%
2022,Female,All Schools,diet_fizzydrinks,fizzy drinks,Rarely or never,2295,5745,39.9%,38.0%,42.0%,2.0%,2.0%
2022,Female,All Schools,diet_sweets,sweets or chocolate,2-3 days a week,2320,5725,40.5%,38.5%,42.5%,2.0%,2.0%
2022,Female,All Schools,diet_sweets,sweets or chocolate,On most days,1600,5725,27.9%,26.2%,29.8%,1.8%,1.9%
2022,Female,All Schools,diet_sweets,sweets or chocolate,Once a week or less,1500,5725,26.2%,24.4%,28.0%,1.8%,1.8%
2022,Female,All Schools,diet_sweets,sweets or chocolate,Rarely or never,305,5725,5.3%,4.5%,6.3%,0.8%,1.0%
2022,Female,All Schools,diet_water,water,2-3 days a week,385,5655,6.8%,5.8%,7.9%,1.0%,1.1%
2022,Female,All Schools,diet_water,water,On most days,5000,5655,88.4%,87.0%,89.7%,1.4%,1.3%
2022,Female,All Schools,diet_water,water,Once a week or less,145,5655,2.6%,2.0%,3.3%,0.6%,0.7%
2022,Female,All Schools,diet_water,water,Rarely or never,125,5655,2.2%,1.7%,2.9%,0.5%,0.7%
2022,Female,All Schools,drug_ever,the best statement that describes them regarding recreational drug use,I have never taken drugs,5425,5805,93.5%,92.4%,94.4%,1.1%,0.9%
2022,Female,All Schools,drug_ever,the best statement that describes them regarding recreational drug use,I have taken drugs once or twice,245,5805,4.2%,3.5%,5.1%,0.7%,0.9%
2022,Female,All Schools,drug_ever,the best statement that describes them regarding recreational drug use,I take drugs occasionally (less than once a week),80,5805,1.4%,1.0%,1.9%,0.4%,0.6%
2022,Female,All Schools,drug_ever,the best statement that describes them regarding recreational drug use,I take drugs regularly (once a week or more),25,5805,0.4%,0.2%,0.8%,0.2%,0.4%
2022,Female,All Schools,drug_ever,the best statement that describes them regarding recreational drug use,"I used to take drugs, but I don’t now",30,5805,0.5%,0.3%,0.9%,0.2%,0.4%
2022,Female,All Schools,drug_reduce,if they want to reduce or stop taking drugs,I'd like to reduce the amount I take but not stop,75,305,24.6%,17.8%,32.9%,6.8%,8.3%
2022,Female,All Schools,drug_reduce,if they want to reduce or stop taking drugs,"No, I want to keep taking drugs",125,305,41.0%,32.7%,49.8%,8.3%,8.8%
2022,Female,All Schools,drug_reduce,if they want to reduce or stop taking drugs,"Yes, I'd like to stop taking drugs",105,305,34.4%,26.6%,43.2%,7.8%,8.8%
2022,Female,All Schools,drugs_alcohol,ever taken drugs and drunk alcohol on the same occasion,No,115,330,34.8%,27.3%,43.3%,7.6%,8.4%
2022,Female,All Schools,drugs_alcohol,ever taken drugs and drunk alcohol on the same occasion,Not sure,20,330,6.1%,3.1%,11.5%,3.0%,5.4%
2022,Female,All Schools,drugs_alcohol,ever taken drugs and drunk alcohol on the same occasion,Yes,195,330,59.1%,50.6%,67.1%,8.5%,8.0%
2022,Female,All Schools,drugsupp_doctor,from a doctor,No,4055,5850,69.3%,67.4%,71.1%,1.9%,1.8%
2022,Female,All Schools,drugsupp_doctor,from a doctor,Yes,1795,5850,30.7%,28.9%,32.6%,1.8%,1.9%
2022,Female,All Schools,drugsupp_family,from family,No,1885,5850,32.2%,30.4%,34.1%,1.9%,1.9%
2022,Female,All Schools,drugsupp_family,from family,Yes,3965,5850,67.8%,65.9%,69.6%,1.9%,1.9%
2022,Female,All Schools,drugsupp_friends,from friends,No,3410,5845,58.3%,56.3%,60.3%,2.0%,2.0%
2022,Female,All Schools,drugsupp_friends,from friends,Yes,2435,5845,41.7%,39.7%,43.7%,2.0%,2.0%
2022,Female,All Schools,drugsupp_internet,from the internet,No,4315,5845,73.8%,72.0%,75.6%,1.8%,1.7%
2022,Female,All Schools,drugsupp_internet,from the internet,Yes,1530,5845,26.2%,24.4%,28.0%,1.7%,1.8%
2022,Female,All Schools,drugsupp_other,from other sources,No,5460,5850,93.3%,92.3%,94.3%,1.1%,0.9%
2022,Female,All Schools,drugsupp_other,from other sources,Yes,390,5850,6.7%,5.7%,7.7%,0.9%,1.1%
2022,Female,All Schools,drugsupp_teacher,from a teacher,No,4505,5850,77.0%,75.3%,78.7%,1.7%,1.7%
2022,Female,All Schools,drugsupp_teacher,from a teacher,Yes,1345,5850,23.0%,21.3%,24.7%,1.7%,1.7%
2022,Female,All Schools,drugsupp_ypservice,from Drug & Alcohol Services for young people,No,4710,5850,80.5%,78.9%,82.1%,1.6%,1.6%
2022,Female,All Schools,drugsupp_ypservice,from Drug & Alcohol Services for young people,Yes,1140,5850,19.5%,17.9%,21.1%,1.6%,1.6%
2022,Female,All Schools,drugsupp_yw,from a Youth Worker,No,5480,5850,93.7%,92.6%,94.6%,1.1%,0.9%
2022,Female,All Schools,drugsupp_yw,from a Youth Worker,Yes,370,5850,6.3%,5.4%,7.4%,0.9%,1.1%
2022,Female,All Schools,ecstasy_exp,ecstasy,No,410,425,96.5%,92.5%,98.4%,3.9%,1.9%
2022,Female,All Schools,ecstasy_exp,ecstasy,Yes,15,425,3.5%,1.6%,7.5%,1.9%,3.9%
2022,Female,All Schools,ecstasy_offered,ecstasy,No,5850,5850,100.0%,99.8%,100.0%,0.2%,-0.0%
2022,Female,All Schools,ethnicity,ethnicity,Any other ethnic group,110,5695,1.9%,1.4%,2.6%,0.5%,0.6%
2022,Female,All Schools,ethnicity,ethnicity,Asian,1005,5695,17.6%,16.1%,19.3%,1.5%,1.6%
2022,Female,All Schools,ethnicity,ethnicity,Black,385,5695,6.8%,5.8%,7.9%,1.0%,1.1%
2022,Female,All Schools,ethnicity,ethnicity,Mixed,130,5695,2.3%,1.7%,3.0%,0.5%,0.7%
2022,Female,All Schools,ethnicity,ethnicity,Prefer not to say,55,5695,1.0%,0.6%,1.5%,0.3%,0.5%
2022,Female,All Schools,ethnicity,ethnicity,White,4010,5695,70.4%,68.5%,72.2%,1.9%,1.8%
2022,Female,All Schools,hallucinogen_natural_exp,hallucinogens,No,405,425,95.3%,91.0%,97.6%,4.3%,2.3%
2022,Female,All Schools,hallucinogen_natural_exp,hallucinogens,Yes,20,425,4.7%,2.4%,9.0%,2.3%,4.3%
2022,Female,All Schools,hallucinogen_offered,hallucinogens,No,5850,5850,100.0%,99.8%,100.0%,0.2%,-0.0%
2022,Female,All Schools,heroin_exp,heroin,No,420,425,98.8%,95.8%,99.7%,3.0%,0.9%
2022,Female,All Schools,heroin_exp,heroin,Yes,5,425,1.2%,0.3%,4.2%,0.9%,3.0%
2022,Female,All Schools,heroin_offered,heroin,No,5850,5850,100.0%,99.8%,100.0%,0.2%,-0.0%
2022,Female,All Schools,herts_just_talk,have heard of Herts Just Talk,No,1870,5765,32.4%,30.6%,34.4%,1.9%,1.9%
2022,Female,All Schools,herts_just_talk,have heard of Herts Just Talk,Unsure,1010,5765,17.5%,16.0%,19.1%,1.5%,1.6%
2022,Female,All Schools,herts_just_talk,have heard of Herts Just Talk,Yes,1280,5765,22.2%,20.6%,23.9%,1.6%,1.7%
2022,Female,All Schools,herts_just_talk,have heard of Herts Just Talk,"Yes I’ve heard of it, but I’m not sure what it is",1605,5765,27.8%,26.1%,29.7%,1.8%,1.9%
2022,Female,All Schools,home_shouting,have ever been frightened by any shouting and arguing between adults or older siblings at home in the last month,Most days/Every day,350,5730,6.1%,5.2%,7.2%,0.9%,1.1%
2022,Female,All Schools,home_shouting,have ever been frightened by any shouting and arguing between adults or older siblings at home in the last month,No,3425,5730,59.8%,57.8%,61.8%,2.0%,2.0%
2022,Female,All Schools,home_shouting,have ever been frightened by any shouting and arguing between adults or older siblings at home in the last month,Once a week,325,5730,5.7%,4.8%,6.7%,0.9%,1.0%
2022,Female,All Schools,home_shouting,have ever been frightened by any shouting and arguing between adults or older siblings at home in the last month,Once or twice,1155,5730,20.2%,18.6%,21.8%,1.6%,1.7%
2022,Female,All Schools,home_shouting,have ever been frightened by any shouting and arguing between adults or older siblings at home in the last month,Prefer not to say,475,5730,8.3%,7.2%,9.5%,1.1%,1.2%
2022,Female,All Schools,home_violence,"if there has been any violence (e.g. hitting, punching, slapping) between adults or older siblings at home in the last month",Most days/Every day,65,5745,1.1%,0.8%,1.7%,0.4%,0.5%
2022,Female,All Schools,home_violence,"if there has been any violence (e.g. hitting, punching, slapping) between adults or older siblings at home in the last month",No,5065,5745,88.2%,86.8%,89.4%,1.4%,1.3%
2022,Female,All Schools,home_violence,"if there has been any violence (e.g. hitting, punching, slapping) between adults or older siblings at home in the last month",Once a week,60,5745,1.0%,0.7%,1.5%,0.3%,0.5%
2022,Female,All Schools,home_violence,"if there has been any violence (e.g. hitting, punching, slapping) between adults or older siblings at home in the last month",Once or twice,215,5745,3.7%,3.0%,4.6%,0.7%,0.9%
2022,Female,All Schools,home_violence,"if there has been any violence (e.g. hitting, punching, slapping) between adults or older siblings at home in the last month",Prefer not to say,340,5745,5.9%,5.0%,7.0%,0.9%,1.0%
2022,Female,All Schools,hopeful_future,feel hopeful about their future,Always,810,5765,14.1%,12.7%,15.5%,1.4%,1.5%
2022,Female,All Schools,hopeful_future,feel hopeful about their future,Never,355,5765,6.2%,5.3%,7.2%,0.9%,1.1%
2022,Female,All Schools,hopeful_future,feel hopeful about their future,Often,1890,5765,32.8%,30.9%,34.7%,1.9%,1.9%
